> Measurement made Mon Dec 11 15:49:14 2023
> Main magnet sweep 10.00000 to 12.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.00000 T 
> ITC set at  200.000 K, T1: 200.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 16.160000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase -179.490000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -0.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.881830 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation perp field 300 GHz 
200K

>BEGIN
      10.000006     -0.00512603       0.0127555     0.000834469     -0.00703338 
      10.000029     -0.00524524       0.0126362      0.00035763      -0.0082255 
      10.000062     -0.00512603       0.0129939      0.00035763     -0.00894075 
      10.000107      -0.0047684       0.0137091      0.00059605     -0.00965601 
      10.000163     -0.00417235        0.014782     0.000834469      -0.0100136 
      10.000231      -0.0036955        0.015855     0.000953682      -0.0102521 
      10.000321     -0.00298025        0.016451     0.000953682      -0.0106097 
      10.000411      -0.0023842       0.0169278     0.000834469      -0.0109673 
      10.000526     -0.00202657        0.017047      0.00059605      -0.0109673 
      10.000654     -0.00143052       0.0171663      0.00035763      -0.0106097 
      10.000777      -0.0011921       0.0169278      0.00023842      -0.0100136 
      10.000908    -0.000953682       0.0172855      0.00023842     -0.00917917 
      10.001048    -0.000834469       0.0177623      0.00059605     -0.00798708 
      10.001219    -0.000715259       0.0183583     0.000953682     -0.00667575 
      10.001379    -0.000476841       0.0189544      0.00143052     -0.00548366 
      10.001546     -0.00023842       0.0197889      0.00154973      -0.0047684 
      10.001721      0.00023842       0.0207425      0.00178815     -0.00429156 
      10.001903      0.00059605       0.0218154      0.00154973     -0.00452998 
      10.002092     0.000715259       0.0225307      0.00131131     -0.00500682 
      10.002291     0.000715259       0.0225307     0.000953682     -0.00572208 
      10.002525     0.000715259        0.022173      0.00059605     -0.00655654 
      10.002736     0.000834469       0.0220538      0.00023842      -0.0072718 
      10.002954     0.000953682       0.0220538      0.00011921     -0.00703338 
      10.003245     0.000834469       0.0219346      0.00011921     -0.00584128 
