> Measurement made Tue Dec 12 15:33:42 2023
> Main magnet sweep  8.00000 to 11.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.74391 T 
> ITC set at  200.000 K, T1: 200.400 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 3.634000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.860610 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation par field 300 GHz 
200 K

>BEGIN
      8.0000096     -0.00584128     -0.00309946    -0.000953682     -0.00190736 
      8.0000379     -0.00584128     -0.00321867     -0.00059605     -0.00190736 
      8.0000849     -0.00596049     -0.00333787     -0.00011921     -0.00190736 
      8.0001493     -0.00596049     -0.00333787      0.00011921     -0.00190736 
      8.0002308     -0.00584128     -0.00357629      0.00011921     -0.00166894 
        8.00033     -0.00560287     -0.00381473      0.00011921     -0.00166894 
      8.0004626     -0.00548366     -0.00405314     -0.00011921     -0.00178815 
      8.0005951     -0.00536445     -0.00417235     -0.00035763     -0.00166894 
      8.0007442     -0.00524524     -0.00441077    -0.000476841     -0.00166894 
      8.0009067     -0.00512603     -0.00464919    -0.000715259     -0.00178815 
      8.0011107     -0.00500682     -0.00464919    -0.000715259     -0.00190736 
      8.0013034     -0.00464919     -0.00452998    -0.000715259     -0.00190736 
      8.0015409     -0.00429156     -0.00429156     -0.00059605     -0.00178815 
       8.001764     -0.00429156     -0.00393394    -0.000476841     -0.00154973 
      8.0019978     -0.00417235      -0.0036955     -0.00035763      -0.0011921 
      8.0022438     -0.00417235      -0.0036955     -0.00023842    -0.000834469 
      8.0025041     -0.00417235      -0.0036955     -0.00023842    -0.000476841 
      8.0028141     -0.00417235     -0.00381473     -0.00035763     -0.00035763 
      8.0030964     -0.00429156     -0.00381473    -0.000476841    -0.000476841 
      8.0033922     -0.00429156     -0.00357629    -0.000476841    -0.000476841 
       8.003696     -0.00417235     -0.00321867     -0.00011921    -0.000476841 
      8.0040099     -0.00393394     -0.00274183      0.00023842     -0.00035763 
      8.0043367     -0.00393394     -0.00250341      0.00059605     -0.00023842 
      8.0046702     -0.00393394      -0.0023842     0.000834469     -0.00023842 
      8.0050641     -0.00405314     -0.00214578     0.000834469     -0.00011921 
      8.0054173     -0.00393394     -0.00202657     0.000715259     -0.00011921 
      8.0057826     -0.00357629     -0.00202657      0.00059605     -0.00023842 
      8.0062082     -0.00321867     -0.00250341      0.00035763    -0.000476841 
      8.0065882     -0.00298025     -0.00298025      0.00059605     -0.00059605 
      8.0069797     -0.00274183     -0.00321867     0.000715259    -0.000715259 
      8.0073754     -0.00262262     -0.00333787     0.000715259     -0.00059605 
      8.0077787     -0.00262262     -0.00333787     0.000476841     -0.00035763 
      8.0082501     -0.00274183     -0.00321867      0.00035763      0.00011921 
      8.0086727     -0.00286104     -0.00309946      0.00023842      0.00059605 
      8.0090982     -0.00298025     -0.00298025               0     0.000715259 
      8.0095304     -0.00298025     -0.00286104     -0.00023842      0.00059605 
       8.010034     -0.00274183     -0.00274183     -0.00023842      0.00023842 
       8.010484     -0.00262262     -0.00274183               0      0.00011921 
      8.0108734      -0.0023842     -0.00262262               0               0 
      8.0113304     -0.00226499     -0.00262262     -0.00023842     -0.00011921 
      8.0117932     -0.00214578     -0.00250341    -0.000476841     -0.00023842 
      8.0122658     -0.00202657     -0.00226499    -0.000834469     -0.00035763 
      8.0127396     -0.00214578     -0.00214578     -0.00107289     -0.00035763 
      8.0132894     -0.00214578     -0.00202657     -0.00143052     -0.00023842 
      8.0137742     -0.00214578     -0.00202657     -0.00190736     -0.00011921 
      8.0142685      -0.0023842     -0.00202657     -0.00250341               0 
      8.0147631     -0.00274183     -0.00226499     -0.00298025      0.00011921 
      8.0152669     -0.00309946      -0.0023842     -0.00357629      0.00023842 
      8.0157706     -0.00333787      -0.0023842     -0.00393394      0.00023842 
      8.0163537      -0.0036955      -0.0023842     -0.00405314      0.00035763 
      8.0168667     -0.00381473      -0.0023842     -0.00381473      0.00059605 
        8.01746     -0.00381473      -0.0023842     -0.00345708     0.000476841 
      8.0179865     -0.00357629      -0.0023842     -0.00274183      0.00023842 
       8.018512     -0.00333787      -0.0023842     -0.00202657      0.00011921 
      8.0191193     -0.00345708     -0.00262262     -0.00143052      0.00035763 
      8.0196527     -0.00357629     -0.00274183    -0.000834469     0.000715259 
      8.0201946     -0.00357629     -0.00298025     -0.00035763      0.00107289 
       8.020735     -0.00357629     -0.00333787               0      0.00143052 
      8.0212836     -0.00357629      -0.0036955      0.00035763      0.00154973 
      8.0218305     -0.00357629     -0.00417235     0.000834469      0.00154973 
      8.0223806     -0.00357629     -0.00464919      0.00107289      0.00143052 
      8.0229387      -0.0036955     -0.00488761       0.0011921     0.000953682 
      8.0234947      -0.0036955     -0.00500682       0.0011921      0.00059605 
      8.0240536     -0.00357629     -0.00500682       0.0011921               0 
      8.0246203     -0.00333787     -0.00512603      0.00131131    -0.000476841 
      8.0251847     -0.00333787     -0.00536445       0.0011921    -0.000834469 
      8.0257568     -0.00321867     -0.00560287      0.00107289     -0.00131131 
      8.0263263     -0.00321867     -0.00584128     0.000953682     -0.00131131 
      8.0268983     -0.00333787     -0.00596049     0.000834469     -0.00131131 
      8.0274779      -0.0036955      -0.0060797      0.00059605      -0.0011921 
      8.0281394     -0.00381473      -0.0060797      0.00035763     -0.00131131 
      8.0287187     -0.00381473     -0.00596049      0.00023842     -0.00143052 
      8.0293001      -0.0036955     -0.00548366     -0.00011921     -0.00154973 
       8.029889     -0.00357629     -0.00488761     -0.00023842     -0.00190736 
      8.0304746     -0.00357629     -0.00429156     -0.00011921     -0.00214578 
      8.0310676     -0.00357629     -0.00393394               0     -0.00226499 
      8.0316571     -0.00333787      -0.0036955      0.00011921     -0.00226499 
      8.0323355     -0.00321867     -0.00357629      0.00011921     -0.00226499 
       8.032929     -0.00321867      -0.0036955     -0.00035763     -0.00214578 
      8.0336117     -0.00333787     -0.00393394    -0.000834469     -0.00202657 
      8.0342144     -0.00357629     -0.00417235     -0.00107289     -0.00214578 
      8.0349013     -0.00381473     -0.00429156      -0.0011921     -0.00226499 
       8.035502     -0.00429156     -0.00441077    -0.000953682      -0.0023842 
      8.0361043      -0.0047684     -0.00429156    -0.000715259     -0.00250341 
      8.0367136     -0.00512603     -0.00405314    -0.000476841      -0.0023842 
      8.0373188     -0.00560287      -0.0036955    -0.000476841      -0.0023842 
       8.037931     -0.00584128     -0.00345708     -0.00059605     -0.00250341 
      8.0385391     -0.00596049     -0.00309946     -0.00059605     -0.00250341 
       8.039238     -0.00596049     -0.00298025     -0.00035763     -0.00250341 
      8.0398488     -0.00596049     -0.00298025     -0.00023842      -0.0023842 
      8.0404666     -0.00584128     -0.00309946     -0.00011921     -0.00226499 
      8.0410799     -0.00548366     -0.00321867     -0.00011921     -0.00202657 
