> Measurement made Tue Dec 12 08:18:57 2023
> Main magnet sweep 10.00000 to 12.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.00000 T 
> ITC set at   20.000 K, T1:  19.999 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -1.113000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 27.111750 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation perp field 300 GHz 
20K

>BEGIN
      10.000006       0.0109673      0.00059605      0.00989443     -0.00226499 
      10.000025       0.0102521      0.00059605      0.00894075     -0.00250341 
      10.000057       0.0101328     0.000715259      0.00751021     -0.00298025 
        10.0001       0.0102521     0.000834469      0.00619891     -0.00309946 
      10.000154      0.00977522     0.000834469      0.00572208     -0.00309946 
       10.00022      0.00917917     0.000834469      0.00631812     -0.00309946 
      10.000296      0.00905996     0.000834469      0.00762945     -0.00309946 
      10.000384      0.00989443     0.000834469      0.00929838     -0.00309946 
      10.000481       0.0108481      0.00107289       0.0104905     -0.00274183 
      10.000604       0.0116826      0.00131131       0.0109673      -0.0023842 
       10.00074       0.0126362      0.00131131       0.0108481     -0.00190736 
      10.000869       0.0131131      0.00131131       0.0101328     -0.00166894 
      10.001008       0.0135899       0.0011921      0.00882155     -0.00154973 
      10.001154        0.014186      0.00107289      0.00751021     -0.00143052 
       10.00131        0.014782     0.000953682      0.00596049      -0.0011921 
      10.001473       0.0152589     0.000834469       0.0047684    -0.000834469 
      10.001669       0.0151396     0.000715259      0.00452998    -0.000476841 
      10.001876       0.0146628      0.00035763      0.00500682     -0.00023842 
      10.002064       0.0138283               0      0.00572208     -0.00023842 
      10.002289        0.012517     -0.00023842      0.00643733    -0.000476841 
      10.002523       0.0113249     -0.00035763      0.00739101    -0.000715259 
      10.002766       0.0102521     -0.00035763      0.00834471    -0.000953682 
      10.003017      0.00977522     -0.00023842      0.00965601     -0.00107289 
      10.003276      0.00941759     -0.00023842       0.0102521      -0.0011921 
