> Measurement made Tue Dec 12 14:11:16 2023
> Main magnet sweep 12.50000 to  5.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.00173 T 
> ITC set at  290.000 K, T1: 290.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -11.912000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.725950 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation par field 300 GHz 
290 K

>BEGIN
       12.49999        0.018716      0.00655654       0.0184776       0.0110865 
      12.499967       0.0243188       0.0095368       0.0199081       0.0109673 
      12.499923       0.0278951       0.0114442        0.020981       0.0107289 
      12.499871       0.0305178        0.012517       0.0220538       0.0107289 
      12.499793       0.0313523       0.0126362       0.0222923       0.0108481 
        12.4997        0.030637        0.011921       0.0218154       0.0107289 
      12.499572       0.0287296       0.0103713       0.0211002       0.0108481 
      12.499444       0.0259877      0.00858313       0.0201465       0.0110865 
      12.499299       0.0227691      0.00655654       0.0191928       0.0110865 
      12.499141       0.0195504       0.0047684       0.0180007       0.0112057 
      12.498968       0.0162126      0.00309946       0.0166894       0.0113249 
       12.49878       0.0132323      0.00143052       0.0154973       0.0112057 
      12.498579       0.0108481     -0.00011921       0.0146628       0.0114442 
      12.498363      0.00846392     -0.00154973       0.0143052        0.011921 
      12.498137      0.00619891     -0.00309946       0.0138283       0.0121594 
      12.497898      0.00417235     -0.00441077       0.0134707        0.012517 
      12.497644      0.00226499     -0.00584128       0.0132323        0.012517 
      12.497381     0.000476841     -0.00715259       0.0128747       0.0126362 
      12.497107     -0.00035763     -0.00786787       0.0127555       0.0127555 
      12.496819    -0.000834469     -0.00858313       0.0127555       0.0131131 
      12.496522    -0.000953682     -0.00882155       0.0132323       0.0137091 
      12.496213    -0.000953682     -0.00858313       0.0135899       0.0143052 
      12.495896    -0.000834469      -0.0082255       0.0138283       0.0144244 
      12.495569    -0.000476841     -0.00751021       0.0138283       0.0140668 
      12.495183               0     -0.00679496       0.0138283       0.0138283 
      12.494833      0.00059605     -0.00584128       0.0140668       0.0139475 
       12.49453      0.00131131      -0.0047684       0.0144244        0.014186 
      12.494113      0.00202657     -0.00333787       0.0146628       0.0140668 
      12.493737      0.00286104     -0.00202657        0.014186       0.0133515 
      12.493299      0.00357629    -0.000834469       0.0131131       0.0120402 
      12.492909      0.00393394     -0.00011921       0.0121594       0.0109673 
      12.492507      0.00452998      0.00035763       0.0116826       0.0104905 
      12.492102      0.00500682      0.00107289        0.011921       0.0107289 
      12.491689      0.00572208      0.00178815       0.0121594       0.0108481 
      12.491265      0.00596049      0.00214578        0.011921       0.0104905 
      12.490839      0.00596049       0.0023842       0.0113249      0.00989443 
      12.490406      0.00596049      0.00262262       0.0110865      0.00965601 
      12.489962      0.00619891      0.00298025       0.0116826       0.0101328 
      12.489516       0.0060797      0.00298025       0.0131131       0.0109673 
       12.48906      0.00548366      0.00250341       0.0144244       0.0114442 
      12.488602      0.00488761      0.00190736       0.0154973       0.0120402 
      12.488138      0.00393394     0.000715259       0.0168086       0.0129939 
      12.487665      0.00286104     -0.00035763       0.0177623       0.0139475 
       12.48719      0.00214578    -0.000834469       0.0185968        0.014782 
      12.486711      0.00154973     -0.00131131       0.0189544       0.0151396 
      12.486221      0.00107289     -0.00202657       0.0189544       0.0152589 
      12.485732     0.000715259     -0.00250341       0.0188352       0.0152589 
      12.485232     0.000834469     -0.00262262        0.018716       0.0150204 
      12.484733     0.000953682     -0.00262262       0.0182391       0.0143052 
      12.484229      0.00131131      -0.0023842       0.0176431       0.0137091 
      12.483717      0.00214578     -0.00143052        0.017047       0.0129939 
      12.483204      0.00321867     -0.00035763        0.016451       0.0120402 
      12.482688      0.00405314      0.00035763       0.0156165       0.0110865 
      12.482162      0.00429156     0.000476841       0.0149012       0.0103713 
      12.481638      0.00429156      0.00035763       0.0146628       0.0102521 
      12.481105      0.00452998      0.00035763       0.0140668       0.0102521 
      12.480573       0.0047684      0.00023842       0.0138283       0.0108481 
      12.480037       0.0047684      0.00011921       0.0138283       0.0115634 
      12.479493      0.00488761      0.00023842        0.014186       0.0122786 
      12.478951      0.00524524      0.00059605       0.0138283       0.0121594 
      12.478406      0.00560287     0.000834469       0.0127555       0.0112057 
      12.477852      0.00619891      0.00131131       0.0112057      0.00989443 
        12.4773      0.00679496      0.00154973       0.0103713      0.00929838 
       12.47674      0.00751021      0.00226499       0.0103713      0.00929838 
      12.476183      0.00858313      0.00333787       0.0107289      0.00941759 
      12.475622      0.00929838      0.00417235       0.0113249      0.00977522 
      12.475054      0.00977522      0.00464919       0.0116826      0.00977522 
      12.474488      0.00977522      0.00452998       0.0120402      0.00965601 
       12.47392      0.00905996      0.00345708       0.0122786      0.00941759 
      12.473343      0.00762945      0.00190736       0.0123978      0.00977522 
       12.47277      0.00631812      0.00059605       0.0128747       0.0103713 
      12.472189      0.00524524    -0.000834469       0.0131131       0.0103713 
      12.471611      0.00393394     -0.00214578       0.0128747       0.0101328 
      12.471031      0.00262262     -0.00321867       0.0129939       0.0102521 
      12.470443      0.00143052     -0.00429156       0.0131131       0.0102521 
      12.469859     0.000476841      -0.0047684       0.0134707       0.0102521 
      12.469272               0     -0.00488761       0.0135899       0.0100136 
      12.468678    -0.000715259     -0.00500682       0.0133515      0.00941759 
      12.468088      -0.0011921     -0.00536445       0.0129939      0.00905996 
       12.46749     -0.00166894     -0.00584128       0.0122786      0.00846392 
      12.466896      -0.0023842     -0.00643733       0.0116826      0.00798708 
      12.466301     -0.00274183     -0.00703338       0.0114442      0.00751021 
      12.465698     -0.00274183     -0.00703338       0.0110865      0.00691417 
      12.465011      -0.0023842     -0.00667575       0.0108481      0.00631812 
       12.46441     -0.00250341     -0.00739101       0.0109673      0.00619891 
      12.463807     -0.00321867      -0.0082255       0.0110865       0.0060797 
      12.463198     -0.00309946     -0.00858313       0.0113249      0.00631812 
      12.462592     -0.00250341     -0.00846392       0.0113249      0.00655654 
       12.46198     -0.00154973     -0.00786787       0.0110865      0.00691417 
      12.461282     -0.00023842     -0.00691417       0.0109673      0.00703338 
      12.460672      0.00059605     -0.00631812       0.0107289      0.00691417 
      12.460061     0.000834469     -0.00596049       0.0101328      0.00655654 
      12.459443     0.000953682     -0.00548366       0.0101328      0.00655654 
       12.45883      0.00131131     -0.00488761       0.0107289      0.00703338 
      12.458125      0.00178815     -0.00405314       0.0113249      0.00762945 
      12.457509      0.00214578     -0.00321867       0.0115634      0.00810629 
      12.456886      0.00226499     -0.00262262       0.0112057      0.00774866 
      12.456268       0.0023842      -0.0023842       0.0103713      0.00715259 
      12.455643      0.00250341     -0.00214578      0.00941759      0.00631812 
      12.455023      0.00286104     -0.00166894      0.00870234      0.00584128 
       12.45431      0.00321867     -0.00154973      0.00858313       0.0060797 
