> Measurement made Tue Dec 12 20:23:17 2023
> Main magnet sweep 10.20000 to  8.20000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.20000 T 
> ITC set at   40.000 K, T1:  39.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 34.494000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 26.003180 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation par field 300 GHz 
40 K

>BEGIN
      10.199994     -0.00894075      -0.0131131       0.0116826       0.0082255 
      10.199975     -0.00905996      -0.0128747       0.0107289      0.00762945 
      10.199943     -0.00905996      -0.0126362      0.00846392      0.00631812 
        10.1999     -0.00965601      -0.0131131      0.00524524      0.00405314 
      10.199837      -0.0109673      -0.0135899     0.000715259      0.00107289 
      10.199759      -0.0112057      -0.0132323     -0.00321867    -0.000953682 
      10.199679      -0.0114442      -0.0132323     -0.00488761     -0.00166894 
      10.199589      -0.0120402      -0.0134707     -0.00572208      -0.0023842 
      10.199489      -0.0121594      -0.0132323      -0.0060797     -0.00298025 
      10.199379      -0.0115634      -0.0126362     -0.00548366     -0.00298025 
      10.199241     -0.00941759      -0.0113249     -0.00500682     -0.00262262 
      10.199111     -0.00596049     -0.00917917     -0.00441077     -0.00214578 
      10.198952     -0.00262262     -0.00715259     -0.00381473     -0.00143052 
      10.198802      0.00035763      -0.0047684     -0.00357629     -0.00143052 
      10.198645      0.00309946     -0.00309946      -0.0036955     -0.00143052 
      10.198478      0.00452998     -0.00214578     -0.00357629     -0.00107289 
      10.198305      0.00572208      -0.0011921     -0.00298025    -0.000476841 
      10.198124      0.00798708      0.00011921     -0.00131131      0.00035763 
      10.197934      0.00989443       0.0011921      0.00035763     0.000953682 
      10.197739       0.0120402      0.00214578      0.00309946      0.00214578 
      10.197506       0.0131131      0.00226499      0.00619891      0.00321867 
      10.197295       0.0128747      0.00154973      0.00691417      0.00262262 
      10.197077       0.0116826     0.000715259      0.00643733      0.00190736 
       10.19682       0.0100136     -0.00023842      0.00631812      0.00143052 
       10.19659       0.0082255      -0.0011921      0.00512603      0.00023842 
      10.196318      0.00596049      -0.0023842      0.00286104     -0.00143052 
      10.196073       0.0036955     -0.00357629      0.00154973     -0.00178815 
      10.195824       0.0023842     -0.00393394      0.00154973     -0.00131131 
       10.19557       0.0023842     -0.00333787      0.00226499     -0.00023842 
      10.195308       0.0023842     -0.00333787      0.00321867     0.000476841 
      10.195044      0.00202657      -0.0036955      0.00357629     0.000715259 
      10.194774     -0.00023842     -0.00572208       0.0036955      0.00059605 
      10.194538     -0.00393394     -0.00894075      0.00321867               0 
      10.194257     -0.00786787      -0.0122786      0.00286104     -0.00035763 
      10.193974      -0.0123978      -0.0160934      0.00309946      0.00011921 
      10.193686      -0.0156165       -0.018716      0.00536445      0.00143052 
      10.193392      -0.0175239      -0.0202657      0.00703338      0.00214578 
      10.193096      -0.0178815      -0.0202657      0.00762945      0.00226499 
      10.192795      -0.0168086      -0.0194312      0.00691417      0.00178815 
      10.192446      -0.0154973      -0.0183583      0.00488761     0.000715259 
      10.192135      -0.0139475      -0.0168086      0.00262262     -0.00035763 
      10.191823      -0.0116826      -0.0149012               0     -0.00154973 
      10.191504      -0.0095368      -0.0126362     -0.00405314     -0.00321867 
      10.191185      -0.0072718      -0.0101328     -0.00810629     -0.00500682 
      10.190862     -0.00464919     -0.00774866      -0.0110865      -0.0060797 
      10.190533     -0.00214578     -0.00584128      -0.0113249     -0.00560287 
      10.190204     -0.00023842     -0.00441077      -0.0102521      -0.0047684 
      10.189871     0.000953682      -0.0036955     -0.00882155     -0.00357629 
      10.189533      0.00143052     -0.00357629     -0.00643733     -0.00226499 
      10.189194      0.00131131     -0.00393394      -0.0036955     -0.00131131 
       10.18885      0.00023842     -0.00536445     -0.00190736    -0.000953682 
      10.188506    -0.000715259     -0.00667575    -0.000715259    -0.000476841 
      10.188159     -0.00143052     -0.00762945      0.00166894     0.000834469 
      10.187759      -0.0023842     -0.00882155       0.0047684      0.00226499 
      10.187403     -0.00357629     -0.00989443      0.00679496      0.00298025 
      10.187049     -0.00464919      -0.0106097      0.00941759      0.00488761 
      10.186692     -0.00631812      -0.0116826       0.0137091      0.00774866 
      10.186329     -0.00798708       -0.012517       0.0169278      0.00977522 
      10.185967     -0.00917917      -0.0128747       0.0177623       0.0102521 
        10.1856      -0.0100136      -0.0127555        0.017047      0.00977522 
      10.185235     -0.00929838      -0.0115634       0.0160934      0.00905996 
      10.184867     -0.00691417     -0.00905996       0.0154973      0.00894075 
      10.184494      -0.0036955      -0.0060797       0.0153781      0.00894075 
      10.184122     -0.00035763     -0.00357629       0.0153781      0.00917917 
      10.183693      0.00190736     -0.00154973       0.0153781      0.00977522 
      10.183317      0.00357629     -0.00023842        0.015855       0.0107289 
      10.182936      0.00488761     0.000953682       0.0154973       0.0109673 
      10.182557      0.00655654      0.00226499       0.0137091       0.0103713 
      10.182173      0.00846392      0.00321867       0.0120402       0.0100136 
      10.181734       0.0101328      0.00393394       0.0116826       0.0103713 
      10.181293       0.0109673      0.00429156        0.012517       0.0112057 
      10.180907       0.0114442      0.00464919       0.0133515       0.0120402 
       10.18052       0.0118018      0.00452998       0.0146628       0.0134707 
      10.180074       0.0121594      0.00488761       0.0169278       0.0151396 
       10.17968       0.0129939      0.00524524       0.0181199       0.0156165 
      10.179288       0.0132323      0.00488761       0.0183583       0.0153781 
      10.178837       0.0137091      0.00488761       0.0180007       0.0151396 
      10.178385       0.0162126      0.00596049       0.0172855       0.0144244 
      10.177989       0.0188352      0.00762945       0.0171663        0.014186 
      10.177589       0.0216962      0.00965601        0.017047       0.0135899 
       10.17719       0.0236036       0.0112057       0.0159742       0.0120402 
      10.176787       0.0243188       0.0120402       0.0144244       0.0103713 
      10.176328       0.0252725       0.0132323        0.012517      0.00834471 
      10.175927        0.026107       0.0135899       0.0107289      0.00715259 
      10.175524       0.0247956       0.0122786      0.00929838      0.00655654 
      10.175117       0.0218154       0.0107289      0.00834471      0.00655654 
      10.174713       0.0191928      0.00941759       0.0082255      0.00691417 
      10.174248        0.016451       0.0082255      0.00810629      0.00679496 
      10.173841        0.014186      0.00715259      0.00715259      0.00536445 
       10.17343       0.0133515      0.00691417      0.00596049      0.00393394 
      10.173022       0.0123978      0.00643733      0.00417235      0.00190736 
       10.17261       0.0114442      0.00584128      0.00154973    -0.000715259 
        10.1722       0.0110865      0.00548366      0.00023842     -0.00202657 
      10.171729       0.0108481      0.00500682     -0.00154973      -0.0036955 
      10.171318       0.0102521      0.00405314     -0.00393394     -0.00548366 
      10.170902      0.00977522      0.00357629     -0.00643733     -0.00715259 
      10.170429       0.0102521      0.00357629     -0.00905996      -0.0082255 
      10.170015       0.0104905      0.00286104      -0.0103713     -0.00762945 
