> Measurement made Mon Dec 11 23:23:38 2023
> Main magnet sweep 10.00000 to 12.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.00000 T 
> ITC set at   60.000 K, T1:  60.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 37.232000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 24.116770 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation perp field 300 GHz 
60K

>BEGIN
      10.000006       0.0162126     -0.00536445     -0.00643733     -0.00381473 
      10.000025       0.0166894     -0.00417235     -0.00631812     -0.00286104 
      10.000057        0.017047     -0.00298025     -0.00560287     -0.00190736 
        10.0001       0.0176431     -0.00178815      -0.0047684    -0.000834469 
      10.000154       0.0181199    -0.000953682     -0.00393394     -0.00011921 
      10.000221       0.0184776     -0.00023842     -0.00333787      0.00011921 
      10.000297       0.0191928      0.00059605     -0.00309946      0.00011921 
      10.000384       0.0195504      0.00107289     -0.00298025      0.00011921 
      10.000482       0.0197889      0.00143052     -0.00274183      0.00059605 
      10.000589       0.0196696      0.00131131     -0.00262262      0.00059605 
      10.000707       0.0189544      0.00059605      -0.0023842      0.00023842 
      10.000833       0.0178815    -0.000953682     -0.00202657      0.00011921 
      10.000968       0.0166894      -0.0023842     -0.00166894               0 
      10.001113       0.0159742      -0.0036955     -0.00143052     -0.00011921 
      10.001265       0.0153781     -0.00500682     -0.00143052    -0.000476841 
      10.001426       0.0150204     -0.00619891     -0.00166894     -0.00131131 
       10.00162       0.0151396     -0.00631812     -0.00202657     -0.00202657 
      10.001799       0.0154973     -0.00631812     -0.00202657     -0.00178815 
      10.001984       0.0156165     -0.00596049     -0.00214578     -0.00143052 
      10.002205       0.0159742     -0.00500682     -0.00214578     -0.00107289 
      10.002408        0.016451      -0.0036955     -0.00214578    -0.000834469 
      10.002615       0.0169278     -0.00250341     -0.00190736    -0.000715259 
      10.002829       0.0171663     -0.00214578     -0.00143052     -0.00035763 
      10.003052       0.0172855     -0.00154973    -0.000953682               0 
