> Measurement made Tue Dec 12 17:37:52 2023
> Main magnet sweep 10.50000 to  8.20000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.50000 T 
> ITC set at   80.000 K, T1:  79.910 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -8.291000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.697490 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation par field 300 GHz 
80 K

>BEGIN
      10.499994        0.032902      0.00202657      -0.0358822     -0.00417235 
      10.499975        0.032902      0.00178815      -0.0358822     -0.00381473 
      10.499943        0.032902      0.00154973      -0.0356438     -0.00321867 
        10.4999        0.032902      0.00154973      -0.0354054     -0.00262262 
      10.499846       0.0327828      0.00178815      -0.0352862      -0.0023842 
       10.49979       0.0326636      0.00190736      -0.0352862     -0.00214578 
      10.499704       0.0326636      0.00178815      -0.0354054     -0.00250341 
      10.499616       0.0325444      0.00166894       -0.035763     -0.00321867 
      10.499504       0.0325444      0.00154973      -0.0362399     -0.00393394 
      10.499396       0.0325444      0.00143052      -0.0363591     -0.00441077 
      10.499278       0.0324252      0.00131131      -0.0364783     -0.00500682 
      10.499149       0.0321867      0.00131131      -0.0364783     -0.00548366 
      10.499013       0.0319483      0.00131131      -0.0364783      -0.0060797 
      10.498868       0.0318291      0.00131131      -0.0367167     -0.00667575 
      10.498713       0.0317099      0.00131131      -0.0368359     -0.00703338 
      10.498552       0.0315907      0.00143052      -0.0369551     -0.00715259 
       10.49838       0.0317099      0.00178815      -0.0370743     -0.00715259 
      10.498176       0.0317099      0.00226499      -0.0373127     -0.00703338 
       10.49799       0.0317099      0.00274183      -0.0374319     -0.00679496 
      10.497797       0.0315907      0.00321867      -0.0373127     -0.00643733 
      10.497594       0.0314715      0.00357629      -0.0374319      -0.0060797 
      10.497387       0.0314715      0.00381473      -0.0374319     -0.00560287 
      10.497173       0.0315907      0.00393394      -0.0374319     -0.00536445 
       10.49695       0.0317099      0.00381473      -0.0375512     -0.00524524 
      10.496724       0.0317099       0.0036955      -0.0375512     -0.00500682 
      10.496489       0.0313523      0.00333787      -0.0375512     -0.00464919 
       10.49625       0.0309946      0.00286104      -0.0374319     -0.00405314 
      10.496005       0.0307562      0.00250341      -0.0373127      -0.0036955 
      10.495753       0.0307562      0.00226499      -0.0370743     -0.00333787 
      10.495497       0.0309946      0.00226499      -0.0368359     -0.00333787 
      10.495236       0.0311139       0.0023842      -0.0365975     -0.00333787 
      10.494968       0.0312331       0.0023842      -0.0364783     -0.00357629 
      10.494697       0.0312331       0.0023842      -0.0364783     -0.00381473 
       10.49438       0.0311139       0.0023842      -0.0363591     -0.00417235 
      10.494096       0.0308754       0.0023842      -0.0367167      -0.0047684 
      10.493769        0.030637      0.00226499      -0.0370743     -0.00524524 
      10.493478        0.030637      0.00214578      -0.0374319     -0.00560287 
      10.493183        0.030637      0.00214578      -0.0375512     -0.00596049 
      10.492881       0.0305178      0.00226499      -0.0375512      -0.0060797 
      10.492578        0.030637       0.0023842      -0.0375512      -0.0060797 
      10.492271        0.030637      0.00226499      -0.0375512      -0.0060797 
      10.491915        0.030637      0.00226499      -0.0375512     -0.00584128 
      10.491597       0.0303985      0.00214578      -0.0373127     -0.00548366 
      10.491279       0.0301601      0.00226499      -0.0370743     -0.00524524 
      10.490954       0.0299216       0.0023842      -0.0369551     -0.00488761 
      10.490629       0.0298024      0.00250341      -0.0368359      -0.0047684 
      10.490301       0.0298024      0.00250341      -0.0365975      -0.0047684 
      10.489966       0.0300409       0.0023842      -0.0367167     -0.00464919 
      10.489631       0.0301601      0.00214578      -0.0369551     -0.00441077 
      10.489294       0.0301601      0.00190736      -0.0373127     -0.00429156 
      10.488903       0.0302793      0.00143052      -0.0375512     -0.00429156 
      10.488557       0.0301601       0.0011921      -0.0376704     -0.00417235 
       10.48821       0.0301601       0.0011921      -0.0376704     -0.00405314 
      10.487858       0.0301601     0.000953682      -0.0375512     -0.00393394 
      10.487507       0.0301601     0.000834469      -0.0373127     -0.00393394 
      10.487153       0.0301601      0.00059605      -0.0370743     -0.00381473 
      10.486793       0.0300409      0.00023842      -0.0369551     -0.00381473 
      10.486435       0.0299216      0.00011921      -0.0368359     -0.00381473 
      10.486074       0.0300409      0.00023842      -0.0369551     -0.00381473 
      10.485707       0.0302793      0.00035763      -0.0370743     -0.00393394 
      10.485342        0.030637      0.00059605      -0.0374319     -0.00405314 
      10.484921       0.0309946     0.000715259      -0.0376704     -0.00417235 
      10.484548       0.0309946     0.000953682       -0.038028     -0.00441077 
      10.484176        0.030637     0.000953682      -0.0382664     -0.00488761 
      10.483803       0.0301601     0.000953682      -0.0389817     -0.00536445 
      10.483424       0.0299216       0.0011921      -0.0395777     -0.00596049 
      10.483047       0.0296832      0.00143052      -0.0401738     -0.00619891 
      10.482669       0.0293256      0.00178815      -0.0405314     -0.00643733 
      10.482285        0.028968      0.00214578      -0.0407698     -0.00643733 
      10.481903       0.0288488       0.0023842       -0.040889     -0.00643733 
      10.481516       0.0288488      0.00262262      -0.0410082     -0.00667575 
      10.481131        0.028968      0.00286104      -0.0412466     -0.00703338 
      10.480744       0.0290872      0.00309946      -0.0413659     -0.00739101 
      10.480353       0.0293256      0.00321867      -0.0413659     -0.00751021 
      10.479963       0.0294448      0.00333787      -0.0412466     -0.00762945 
      10.479572        0.029564      0.00345708      -0.0413659     -0.00774866 
      10.479177        0.029564      0.00357629      -0.0414851     -0.00798708 
      10.478783        0.029564      0.00357629      -0.0416043      -0.0082255 
      10.478385       0.0294448      0.00345708      -0.0418427     -0.00834471 
      10.477989       0.0293256      0.00309946      -0.0419619     -0.00834471 
      10.477592       0.0288488      0.00286104      -0.0419619     -0.00810629 
       10.47719       0.0287296      0.00298025      -0.0418427     -0.00774866 
      10.476791       0.0284911      0.00321867      -0.0416043     -0.00715259 
      10.476332       0.0286103      0.00357629      -0.0414851     -0.00643733 
       10.47593       0.0287296      0.00357629      -0.0412466      -0.0060797 
      10.475524        0.028968      0.00357629      -0.0412466     -0.00584128 
      10.475121       0.0292064      0.00345708      -0.0412466     -0.00572208 
      10.474713       0.0293256      0.00309946      -0.0412466     -0.00560287 
      10.474307        0.028968      0.00298025      -0.0413659     -0.00548366 
      10.473901       0.0287296      0.00298025      -0.0414851     -0.00536445 
       10.47349       0.0286103      0.00309946      -0.0418427     -0.00548366 
      10.473082       0.0287296      0.00321867      -0.0424387     -0.00572208 
      10.472613       0.0287296      0.00333787      -0.0429156      -0.0060797 
      10.472204       0.0287296      0.00345708      -0.0435116     -0.00631812 
       10.47179       0.0288488      0.00357629      -0.0438693     -0.00655654 
      10.471318       0.0292064      0.00393394      -0.0442269     -0.00679496 
      10.470906        0.029564      0.00417235      -0.0443461     -0.00691417 
