> Measurement made Wed Jan  3 16:13:09 2024
> Main magnet sweep  3.00000 to  5.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.00000 T 
> ITC set at  125.000 K, T1: 125.030 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 160.782100 Ohm corresponds to T = 128.458109 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.301440 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
125 K  
Original linear polarization
-

>BEGIN
      3.0000126      0.00250341      0.00202657     0.000715259      0.00214578 
      3.0000436      0.00226499      0.00131131      0.00178815      0.00226499 
      3.0001015      0.00214578       0.0011921      0.00178815      0.00250341 
      3.0001824      0.00262262     0.000834469      0.00166894      0.00298025 
      3.0002856      0.00298025      0.00154973      0.00226499      0.00357629 
      3.0003942      0.00250341      0.00214578      0.00214578      0.00333787 
      3.0005373      0.00214578      0.00202657      0.00143052      0.00298025 
      3.0006786      0.00214578      0.00107289      0.00190736      0.00286104 
       3.000859      0.00262262     0.000715259      0.00190736      0.00262262 
      3.0010584      0.00274183     0.000834469      0.00178815      0.00286104 
      3.0012472      0.00262262       0.0011921      0.00262262      0.00321867 
      3.0014804      0.00226499      0.00154973      0.00321867      0.00321867 
      3.0016998      0.00202657      0.00190736      0.00333787      0.00298025 
        3.00193      0.00226499      0.00202657      0.00309946      0.00274183 
      3.0022092       0.0023842      0.00226499      0.00286104      0.00262262 
      3.0025041      0.00286104      0.00262262      0.00298025      0.00321867 
      3.0027736      0.00309946      0.00286104      0.00262262      0.00345708 
      3.0030964       0.0036955      0.00274183      0.00214578      0.00309946 
      3.0033922      0.00345708      0.00190736      0.00250341      0.00321867 
      3.0037414      0.00357629      0.00143052       0.0023842      0.00309946 
      3.0041039      0.00321867      0.00131131      0.00262262      0.00321867 
      3.0044793       0.0023842      0.00166894      0.00286104      0.00321867 
      3.0048672      0.00178815      0.00202657      0.00286104      0.00309946 
       3.005316      0.00190736      0.00214578      0.00298025      0.00321867 
      3.0056788      0.00226499      0.00143052      0.00262262      0.00333787 
      3.0061016      0.00202657      0.00131131      0.00202657      0.00357629 
      3.0065354       0.0023842      0.00166894      0.00202657      0.00321867 
      3.0069797      0.00250341      0.00202657      0.00250341      0.00274183 
      3.0073754      0.00190736      0.00226499      0.00250341      0.00214578 
      3.0078385      0.00202657      0.00250341      0.00226499      0.00226499 
      3.0083111      0.00202657      0.00262262      0.00202657      0.00226499 
      3.0087347      0.00190736       0.0023842      0.00250341       0.0023842 
      3.0092244      0.00202657      0.00190736      0.00250341      0.00226499 
      3.0097228      0.00250341      0.00178815      0.00286104      0.00262262 
      3.0102296      0.00202657      0.00154973      0.00262262      0.00321867 
      3.0107445      0.00107289      0.00226499       0.0023842      0.00250341 
      3.0111998     0.000834469      0.00214578      0.00250341      0.00154973 
       3.011661      0.00131131      0.00250341       0.0023842       0.0011921 
      3.0121967      0.00178815      0.00250341      0.00286104      0.00154973 
      3.0126741      0.00190736      0.00262262      0.00345708      0.00190736 
       3.013223      0.00202657       0.0023842      0.00286104       0.0023842 
      3.0137787       0.0023842      0.00214578       0.0011921      0.00262262 
      3.0143408      0.00262262      0.00309946     0.000834469       0.0023842 
       3.014836      0.00286104      0.00345708       0.0011921      0.00202657 
      3.0153359      0.00262262      0.00309946     0.000715259      0.00178815 
       3.015845      0.00166894      0.00286104               0      0.00166894 
      3.0163537       0.0011921      0.00226499               0      0.00178815 
      3.0169424       0.0011921      0.00190736      0.00035763     0.000953682 
      3.0174648      0.00178815      0.00143052      0.00143052     0.000715259 
      3.0179865      0.00214578       0.0011921      0.00190736      0.00059605 
      3.0185895      0.00202657      0.00107289      0.00202657     0.000834469 
      3.0191974      0.00262262      0.00178815      0.00178815      0.00131131 
      3.0197313      0.00250341       0.0023842      0.00154973      0.00166894 
      3.0203479      0.00190736      0.00262262      0.00190736      0.00143052 
      3.0208942      0.00166894      0.00202657      0.00202657      0.00143052 
      3.0215191      0.00166894      0.00178815      0.00226499      0.00154973 
      3.0221481      0.00190736      0.00190736      0.00214578      0.00107289 
      3.0227811       0.0023842      0.00166894      0.00226499      0.00178815 
      3.0233363      0.00202657      0.00143052      0.00262262      0.00250341 
      3.0238943      0.00107289       0.0011921      0.00262262      0.00274183 
      3.0245377       0.0011921      0.00143052      0.00190736      0.00226499 
      3.0251069       0.0023842      0.00250341       0.0011921      0.00154973 
      3.0257568      0.00309946      0.00286104      0.00059605      0.00154973 
      3.0263263      0.00309946      0.00262262      0.00011921      0.00190736 
      3.0269035      0.00274183       0.0023842      0.00107289      0.00202657 
      3.0274779      0.00190736      0.00178815      0.00131131      0.00214578 
      3.0281394      0.00143052      0.00154973      0.00178815      0.00178815 
      3.0288039       0.0011921      0.00166894      0.00202657     0.000953682 
      3.0294712     0.000834469      0.00166894       0.0023842      0.00143052 
      3.0300553     0.000715259      0.00178815      0.00190736      0.00226499 
      3.0307277     0.000715259      0.00214578      0.00143052      0.00250341 
      3.0313215     0.000953682       0.0023842       0.0011921      0.00214578 
      3.0319987     0.000715259       0.0023842      0.00143052      0.00202657 
      3.0325912      0.00023842      0.00178815       0.0011921      0.00202657 
      3.0332728      0.00011921     0.000715259      0.00154973      0.00226499 
      3.0339567      0.00131131       0.0011921      0.00202657      0.00202657 
      3.0346428      0.00202657      0.00190736      0.00214578      0.00226499 
       3.035331      0.00274183      0.00226499      0.00214578      0.00286104 
      3.0359328      0.00309946       0.0023842      0.00190736      0.00321867 
      3.0366249      0.00286104      0.00226499      0.00178815      0.00381473 
