> Measurement made Wed Jan  3 13:54:20 2024
> Main magnet sweep  5.00000 to  3.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  5.00000 T 
> ITC set at  200.000 K, T1: 199.970 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 128.053600 Ohm corresponds to T = 201.740554 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.012360 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
200 K  
Original linear polarization
-

>BEGIN
      4.9999904      -0.0118018      0.00500682       0.0152589      0.00321867 
      4.9999621      -0.0115634      0.00512603       0.0150204      0.00345708 
      4.9999151      -0.0110865      0.00512603        0.014782      0.00321867 
      4.9998398      -0.0108481      0.00452998       0.0143052      0.00262262 
      4.9997558      -0.0109673      0.00381473        0.014186      0.00202657 
      4.9996552      -0.0104905       0.0036955       0.0143052      0.00190736 
      4.9995374      -0.0102521      0.00417235       0.0146628       0.0023842 
      4.9993842      -0.0112057      0.00393394        0.014186      0.00202657 
      4.9992343      -0.0114442      0.00321867       0.0132323      0.00214578 
      4.9990682      -0.0113249      0.00309946       0.0131131      0.00202657 
      4.9988619      -0.0110865      0.00381473       0.0135899       0.0023842 
      4.9986672      -0.0110865      0.00417235       0.0143052       0.0023842 
      4.9984591      -0.0109673      0.00405314       0.0139475       0.0011921 
       4.998236      -0.0104905      0.00464919       0.0138283     0.000953682 
      4.9979669      -0.0104905      0.00452998       0.0134707      0.00143052 
      4.9977191      -0.0115634      0.00417235       0.0131131      0.00131131 
      4.9974595      -0.0118018      0.00452998       0.0135899       0.0011921 
      4.9971477       -0.011921      0.00488761       0.0139475      0.00154973 
      4.9968613      -0.0122786      0.00464919        0.014186      0.00202657 
      4.9965224      -0.0113249      0.00464919       0.0137091       0.0023842 
      4.9962158      -0.0100136       0.0047684       0.0140668      0.00262262 
      4.9958517     -0.00941759      0.00441077       0.0139475      0.00250341 
      4.9954748      -0.0101328      0.00464919       0.0138283      0.00298025 
      4.9950854      -0.0102521      0.00464919       0.0143052      0.00357629 
      4.9947328      -0.0102521      0.00464919        0.014782      0.00309946 
      4.9943745      -0.0106097      0.00524524       0.0150204      0.00274183 
      4.9940077      -0.0104905      0.00548366       0.0146628       0.0023842 
      4.9935766      -0.0110865      0.00524524        0.014186      0.00202657 
       4.993135      -0.0120402       0.0047684       0.0138283      0.00226499 
      4.9926246      -0.0112057      0.00429156       0.0138283      0.00214578 
      4.9922213      -0.0106097      0.00417235       0.0137091      0.00166894 
      4.9917499     -0.00989443      0.00429156       0.0128747      0.00143052 
      4.9913273      -0.0095368      0.00464919        0.011921      0.00154973 
      4.9908387      -0.0104905      0.00429156        0.012517      0.00202657 
      4.9904056      -0.0120402      0.00464919       0.0129939      0.00190736 
       4.989966      -0.0127555      0.00464919       0.0135899      0.00202657 
      4.9894542      -0.0128747      0.00429156       0.0134707      0.00178815 
      4.9889345      -0.0127555      0.00464919       0.0133515      0.00154973 
      4.9884707      -0.0118018      0.00500682       0.0143052      0.00226499 
      4.9880056      -0.0108481      0.00452998       0.0143052       0.0023842 
      4.9873957      -0.0102521      0.00405314       0.0138283      0.00202657 
      4.9867814      -0.0100136      0.00381473       0.0133515      0.00250341 
      4.9862928      -0.0108481      0.00321867       0.0133515      0.00298025 
      4.9857315      -0.0106097      0.00321867       0.0133515      0.00286104 
       4.985164      -0.0102521       0.0036955       0.0137091      0.00298025 
      4.9845903      -0.0103713      0.00429156       0.0143052      0.00298025 
      4.9840853      -0.0101328      0.00441077       0.0140668      0.00286104 
      4.9835008     -0.00989443      0.00429156       0.0139475      0.00274183 
      4.9829108      -0.0103713      0.00429156        0.014782      0.00226499 
      4.9823872      -0.0112057      0.00452998        0.014782      0.00178815 
      4.9817874      -0.0115634      0.00452998        0.014782      0.00143052 
      4.9812602      -0.0113249      0.00429156       0.0146628      0.00131131 
      4.9806511      -0.0103713      0.00405314       0.0138283      0.00166894 
      4.9800374      -0.0100136       0.0036955       0.0138283       0.0023842 
      4.9794191      -0.0103713      0.00357629       0.0135899       0.0023842 
      4.9788763      -0.0106097      0.00393394       0.0132323       0.0023842 
      4.9782499      -0.0115634      0.00405314        0.012517      0.00250341 
      4.9776953       -0.012517      0.00452998        0.012517       0.0023842 
      4.9770613      -0.0120402      0.00488761       0.0129939      0.00166894 
      4.9765053      -0.0116826      0.00536445       0.0135899      0.00166894 
      4.9759464      -0.0113249      0.00512603        0.014186      0.00226499 
      4.9753022      -0.0110865      0.00452998        0.014782      0.00262262 
      4.9746543      -0.0108481       0.0036955       0.0150204       0.0023842 
      4.9740815      -0.0118018       0.0036955       0.0143052      0.00250341 
      4.9734273      -0.0128747      0.00405314       0.0139475      0.00286104 
      4.9728544       -0.012517      0.00417235       0.0137091      0.00321867 
      4.9721944      -0.0116826      0.00452998       0.0137091      0.00309946 
      4.9715314      -0.0109673      0.00488761       0.0137091      0.00262262 
      4.9709455      -0.0108481      0.00512603       0.0133515      0.00202657 
      4.9702772      -0.0108481      0.00536445       0.0131131      0.00190736 
      4.9696922      -0.0104905      0.00560287       0.0133515      0.00202657 
      4.9691051      -0.0107289      0.00560287       0.0132323      0.00190736 
      4.9685108      -0.0112057      0.00536445       0.0131131      0.00202657 
       4.967833      -0.0114442       0.0047684       0.0134707      0.00250341 
      4.9671528      -0.0114442      0.00452998       0.0133515      0.00262262 
      4.9664703      -0.0110865      0.00464919       0.0131131      0.00250341 
      4.9658733      -0.0114442       0.0047684       0.0133515      0.00286104 
      4.9651867      -0.0120402      0.00464919       0.0133515      0.00298025 
