> Measurement made Wed Jan  3 11:36:56 2024
> Main magnet sweep  5.00000 to  3.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  5.00000 T 
> ITC set at  250.000 K, T1: 249.900 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 114.327500 Ohm corresponds to T = 252.001460 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.047380 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 30 dB
> Source attn 20 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 4 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
250 K
-

>BEGIN
      4.9999903      0.00584128               0     -0.00143052     -0.00703338 
      4.9999618      0.00619891               0     -0.00166894      -0.0072718 
      4.9999146      0.00643733               0     -0.00166894      -0.0072718 
      4.9998391      0.00584128     -0.00023842     -0.00143052     -0.00762945 
       4.999755      0.00536445     -0.00011921     -0.00143052     -0.00786787 
      4.9996542      0.00488761      0.00011921     -0.00166894     -0.00751021 
      4.9995362      0.00500682               0     -0.00190736     -0.00715259 
      4.9993829      0.00512603     -0.00023842     -0.00190736     -0.00703338 
      4.9992096      0.00500682     -0.00023842     -0.00250341     -0.00703338 
      4.9990172       0.0047684    -0.000953682     -0.00321867     -0.00715259 
      4.9988342      0.00488761      -0.0011921     -0.00321867     -0.00691417 
      4.9986075      0.00500682      -0.0011921     -0.00298025     -0.00679496 
      4.9983956      0.00488761    -0.000476841     -0.00309946     -0.00691417 
      4.9981686      0.00524524               0     -0.00298025     -0.00751021 
      4.9978954      0.00524524      0.00023842     -0.00250341     -0.00762945 
      4.9976062      0.00512603      0.00023842     -0.00226499     -0.00715259 
      4.9973017      0.00524524      0.00011921     -0.00250341     -0.00703338 
      4.9970241       0.0047684      0.00023842     -0.00262262     -0.00751021 
      4.9966922      0.00488761      0.00059605     -0.00274183     -0.00762945 
      4.9963887      0.00500682     0.000476841     -0.00262262     -0.00786787 
       4.996031      0.00500682      0.00023842     -0.00226499      -0.0082255 
      4.9956603      0.00488761      0.00059605     -0.00202657     -0.00894075 
      4.9952769      0.00441077      0.00059605     -0.00214578     -0.00894075 
      4.9949327      0.00452998      0.00059605     -0.00214578     -0.00834471 
      4.9945794      0.00512603      0.00035763     -0.00226499     -0.00774866 
      4.9941635      0.00524524     0.000715259     -0.00166894     -0.00751021 
      4.9937365      0.00572208     0.000715259     -0.00190736      -0.0072718 
      4.9932988      0.00584128     0.000476841     -0.00214578     -0.00751021 
      4.9928506       0.0060797      0.00011921     -0.00214578     -0.00751021 
      4.9923924       0.0060797               0     -0.00214578     -0.00762945 
      4.9919811      0.00572208     -0.00023842      -0.0023842     -0.00810629 
      4.9915664      0.00524524     -0.00059605      -0.0023842     -0.00834471 
      4.9910822      0.00500682     -0.00107289     -0.00166894     -0.00834471 
      4.9906528      0.00512603    -0.000476841     -0.00154973     -0.00786787 
      4.9902128      0.00536445      0.00023842     -0.00154973     -0.00762945 
      4.9897704      0.00524524      0.00035763     -0.00154973     -0.00774866 
      4.9892555      0.00488761      0.00023842     -0.00202657     -0.00751021 
      4.9887328      0.00464919      0.00011921     -0.00250341      -0.0072718 
      4.9882666      0.00452998     -0.00035763      -0.0023842     -0.00762945 
       4.987799      0.00488761               0      -0.0023842     -0.00810629 
      4.9873259      0.00548366      0.00023842     -0.00202657     -0.00834471 
       4.986777      0.00596049     0.000476841     -0.00154973     -0.00810629 
      4.9862213      0.00596049     0.000834469     -0.00166894      -0.0072718 
      4.9856592      0.00572208     0.000715259     -0.00214578     -0.00703338 
      4.9850909      0.00560287     0.000715259      -0.0023842     -0.00739101 
      4.9845164      0.00572208               0     -0.00250341     -0.00786787 
      4.9840061      0.00584128     -0.00035763     -0.00309946     -0.00846392 
      4.9834961      0.00524524    -0.000476841     -0.00321867     -0.00858313 
      4.9829061       0.0047684     -0.00035763     -0.00250341     -0.00858313 
      4.9823872      0.00488761     -0.00011921     -0.00226499     -0.00834471 
      4.9817874      0.00429156    -0.000476841     -0.00298025     -0.00762945 
      4.9811825      0.00417235     -0.00011921     -0.00286104     -0.00751021 
      4.9805728      0.00393394      0.00011921     -0.00262262     -0.00774866 
      4.9800324      0.00405314      0.00023842     -0.00226499     -0.00774866 
      4.9794141      0.00429156      0.00023842      -0.0023842     -0.00810629 
      4.9787914      0.00417235      0.00011921      -0.0023842     -0.00834471 
      4.9781644      0.00488761      0.00035763     -0.00214578     -0.00798708 
      4.9775334      0.00512603      0.00059605     -0.00202657     -0.00774866 
      4.9769799      0.00560287     0.000834469      -0.0023842     -0.00786787 
      4.9763415      0.00524524      0.00023842     -0.00274183      -0.0082255 
      4.9757767      0.00393394     -0.00035763     -0.00226499     -0.00774866 
      4.9751315      0.00345708    -0.000476841     -0.00214578     -0.00739101 
       4.974566      0.00405314      0.00023842     -0.00250341     -0.00715259 
      4.9739143       0.0047684     0.000834469     -0.00298025     -0.00715259 
      4.9732594      0.00452998      0.00011921     -0.00309946     -0.00739101 
      4.9726013      0.00441077    -0.000834469     -0.00298025     -0.00739101 
      4.9720249      0.00452998    -0.000476841     -0.00274183     -0.00703338 
       4.971441      0.00512603               0     -0.00357629     -0.00703338 
      4.9707747       0.0047684               0     -0.00321867     -0.00715259 
      4.9701914      0.00405314      0.00011921     -0.00250341     -0.00762945 
        4.96952      0.00417235      0.00011921     -0.00250341      -0.0082255 
      4.9689324      0.00464919      0.00023842     -0.00274183      -0.0082255 
      4.9682562      0.00500682      0.00023842     -0.00262262     -0.00786787 
      4.9676591      0.00524524      0.00023842     -0.00250341      -0.0072718 
      4.9669783       0.0060797     0.000476841     -0.00309946     -0.00715259 
      4.9662952      0.00584128      0.00035763     -0.00298025     -0.00739101 
