> Measurement made Thu Jan  4 15:54:15 2024
> Main magnet sweep  2.80000 to  5.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.39906 T 
> ITC set at   25.000 K, T1:  25.020 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 296.183800 Ohm corresponds to T = 25.459275 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 24.729520 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
25 K  
Original linear polarization
-

>BEGIN
      2.8000096     -0.00214578     -0.00309946      0.00596049     -0.00345708 
      2.8000379     -0.00298025     -0.00381473      0.00548366     -0.00321867 
      2.8000849     -0.00321867     -0.00357629      0.00572208     -0.00333787 
      2.8001493     -0.00298025     -0.00357629       0.0060797     -0.00345708 
      2.8002316     -0.00298025     -0.00405314       0.0060797     -0.00333787 
      2.8003458     -0.00298025     -0.00429156      0.00584128     -0.00333787 
      2.8004811     -0.00262262     -0.00417235      0.00596049     -0.00381473 
      2.8006369      -0.0023842     -0.00357629       0.0060797     -0.00405314 
      2.8008125     -0.00226499     -0.00309946      0.00643733     -0.00405314 
      2.8010072     -0.00274183     -0.00298025      0.00643733     -0.00464919 
      2.8011921     -0.00321867     -0.00298025      0.00643733     -0.00452998 
      2.8014209     -0.00321867     -0.00250341      0.00596049     -0.00405314 
      2.8016671     -0.00298025     -0.00262262      0.00572208     -0.00345708 
        2.80193     -0.00321867      -0.0023842       0.0060797     -0.00298025 
      2.8022092     -0.00393394     -0.00309946      0.00596049     -0.00250341 
      2.8025041     -0.00441077      -0.0036955      0.00643733     -0.00321867 
      2.8028141      -0.0047684     -0.00381473      0.00667575     -0.00333787 
      2.8031387     -0.00417235     -0.00298025       0.0072718     -0.00274183 
      2.8034776     -0.00309946     -0.00274183      0.00703338      -0.0023842 
      2.8038301     -0.00190736     -0.00333787      0.00703338      -0.0023842 
      2.8041483     -0.00107289     -0.00357629      0.00619891     -0.00226499 
      2.8045252    -0.000953682     -0.00357629      0.00631812     -0.00226499 
      2.8049146     -0.00143052     -0.00321867      0.00631812     -0.00226499 
       2.805316     -0.00250341     -0.00262262      0.00655654     -0.00262262 
      2.8057289     -0.00298025     -0.00250341       0.0060797     -0.00333787 
      2.8061016     -0.00357629     -0.00333787      0.00596049     -0.00321867 
      2.8065354      -0.0036955     -0.00393394      0.00536445     -0.00333787 
      2.8069223     -0.00298025     -0.00429156      0.00524524     -0.00298025 
      2.8073754      -0.0023842     -0.00405314      0.00572208     -0.00274183 
      2.8078385     -0.00190736     -0.00405314      0.00584128     -0.00262262 
      2.8083111     -0.00262262     -0.00441077      0.00572208     -0.00274183 
      2.8087308     -0.00381473     -0.00452998       0.0060797     -0.00262262 
      2.8091613     -0.00393394     -0.00417235      0.00619891     -0.00309946 
      2.8095944     -0.00333787     -0.00357629      0.00655654     -0.00333787 
      2.8100381     -0.00274183     -0.00357629      0.00643733     -0.00309946 
       2.810484     -0.00274183     -0.00393394      0.00584128     -0.00298025 
      2.8110028     -0.00286104     -0.00393394      0.00536445     -0.00274183 
      2.8114614     -0.00262262     -0.00381473      0.00584128      -0.0023842 
      2.8119944     -0.00226499     -0.00333787       0.0060797     -0.00202657 
      2.8124694      -0.0011921      -0.0036955      0.00655654     -0.00214578 
      2.8130818     -0.00107289     -0.00393394      0.00631812     -0.00262262 
      2.8136358     -0.00190736      -0.0036955      0.00572208     -0.00345708 
      2.8141963     -0.00274183     -0.00309946      0.00536445     -0.00405314 
      2.8147631     -0.00250341     -0.00226499      0.00524524     -0.00393394 
      2.8152669     -0.00214578     -0.00154973      0.00596049     -0.00417235 
      2.8157706     -0.00166894     -0.00190736      0.00584128     -0.00393394 
      2.8162788     -0.00166894     -0.00226499      0.00548366     -0.00381473 
      2.8167959     -0.00143052     -0.00262262      0.00560287     -0.00357629 
      2.8173124     -0.00190736     -0.00298025      0.00596049     -0.00345708 
      2.8178377     -0.00262262     -0.00321867      0.00619891     -0.00321867 
      2.8183622     -0.00274183     -0.00333787      0.00655654     -0.00333787 
      2.8189683      -0.0023842     -0.00309946      0.00619891     -0.00381473 
      2.8195791     -0.00250341     -0.00333787      0.00524524     -0.00393394 
      2.8201946     -0.00321867     -0.00345708      0.00584128     -0.00357629 
      2.8208146     -0.00345708     -0.00381473      0.00584128     -0.00321867 
      2.8213587     -0.00333787     -0.00321867      0.00572208      -0.0036955 
      2.8219111     -0.00333787     -0.00274183      0.00560287     -0.00357629 
      2.8224616     -0.00333787     -0.00262262      0.00536445     -0.00381473 
      2.8230965     -0.00309946     -0.00250341      0.00524524     -0.00429156 
      2.8237353     -0.00309946     -0.00274183      0.00548366     -0.00452998 
      2.8243778     -0.00357629     -0.00333787      0.00548366     -0.00405314 
       2.824941     -0.00429156     -0.00357629      0.00596049      -0.0036955 
       2.825512     -0.00464919      -0.0036955      0.00679496     -0.00345708 
      2.8260805     -0.00381473     -0.00381473      0.00679496     -0.00357629 
      2.8266566     -0.00309946     -0.00357629      0.00679496     -0.00333787 
        2.82723     -0.00321867     -0.00345708      0.00715259     -0.00333787 
      2.8278056     -0.00381473     -0.00357629      0.00691417     -0.00321867 
      2.8284686     -0.00393394     -0.00381473      0.00643733     -0.00309946 
      2.8291345      -0.0036955     -0.00429156      0.00548366     -0.00333787 
      2.8298032     -0.00321867     -0.00429156      0.00500682     -0.00405314 
      2.8304746     -0.00250341     -0.00357629      0.00548366     -0.00464919 
      2.8310676     -0.00262262     -0.00333787      0.00596049      -0.0047684 
      2.8317438     -0.00250341     -0.00381473      0.00691417     -0.00405314 
