> Measurement made Thu Jan  4 10:51:14 2024
> Main magnet sweep  3.00000 to  5.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.00000 T 
> ITC set at  275.000 K, T1: 275.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 108.940900 Ohm corresponds to T = 278.025722 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.357560 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
275 K  
Original linear polarization
-

>BEGIN
      3.0000096      0.00059605      0.00023842      0.00846392     -0.00810629 
      3.0000379               0     0.000834469      0.00810629     -0.00762945 
      3.0000849    -0.000476841      0.00107289       0.0082255     -0.00739101 
      3.0001602    -0.000715259      0.00059605      0.00870234      -0.0072718 
      3.0002442     -0.00107289      0.00023842      0.00858313     -0.00739101 
      3.0003458    -0.000715259      0.00059605      0.00858313     -0.00786787 
      3.0004811     -0.00023842      0.00023842      0.00810629     -0.00870234 
      3.0006369    -0.000476841     -0.00035763      0.00846392     -0.00870234 
      3.0008125    -0.000715259     -0.00035763      0.00929838     -0.00894075 
      3.0010072     -0.00107289     -0.00023842      0.00882155     -0.00882155 
      3.0012204    -0.000834469      0.00059605      0.00882155     -0.00870234 
      3.0014515     -0.00059605     0.000715259      0.00870234     -0.00858313 
      3.0017308    -0.000476841      0.00143052       0.0082255     -0.00786787 
      3.0019649     -0.00035763      0.00166894      0.00762945     -0.00810629 
      3.0022092               0      0.00131131      0.00834471     -0.00858313 
      3.0024655    -0.000715259     0.000953682      0.00905996     -0.00834471 
      3.0027358     -0.00178815      0.00107289      0.00965601     -0.00810629 
      3.0030569      -0.0023842      0.00107289       0.0102521     -0.00810629 
      3.0033922     -0.00154973     0.000834469       0.0108481     -0.00762945 
       3.003696     -0.00023842     0.000715259       0.0109673     -0.00751021 
      3.0040099               0      0.00035763       0.0110865     -0.00715259 
       3.004382      0.00035763      0.00059605       0.0114442     -0.00715259 
      3.0047668     0.000953682      0.00107289       0.0115634     -0.00786787 
      3.0051637      0.00023842      0.00131131       0.0108481     -0.00810629 
      3.0055227    -0.000834469      0.00143052       0.0100136     -0.00786787 
      3.0058871    -0.000953682      0.00131131      0.00941759     -0.00786787 
      3.0062635    -0.000953682      0.00059605      0.00929838     -0.00846392 
      3.0066446     -0.00023842               0      0.00941759     -0.00882155 
      3.0070915     -0.00011921      0.00011921       0.0100136     -0.00846392 
      3.0076076      0.00011921     0.000715259       0.0107289     -0.00834471 
      3.0080151      0.00059605      0.00059605       0.0107289      -0.0082255 
      3.0084913      0.00011921      0.00035763      0.00965601     -0.00834471 
      3.0089139     -0.00023842               0      0.00941759     -0.00834471 
      3.0093472    -0.000476841               0       0.0095368     -0.00810629 
      3.0097832    -0.000476841               0      0.00917917     -0.00810629 
      3.0102255     -0.00011921               0      0.00917917      -0.0082255 
      3.0106781               0      0.00059605       0.0095368     -0.00786787 
      3.0111326    -0.000715259     0.000834469      0.00989443     -0.00739101 
      3.0115972    -0.000715259     0.000715259       0.0103713     -0.00715259 
      3.0120632    -0.000715259      0.00035763       0.0109673     -0.00739101 
      3.0126043     -0.00035763      0.00035763       0.0107289     -0.00786787 
      3.0130818     -0.00023842      0.00011921       0.0107289     -0.00774866 
       3.013569     -0.00011921      0.00035763       0.0109673     -0.00762945 
      3.0140567               0     0.000953682       0.0113249     -0.00762945 
      3.0145492               0      0.00166894       0.0114442     -0.00774866 
       3.015051      0.00011921      0.00107289       0.0109673     -0.00739101 
      3.0155529    -0.000476841               0       0.0107289     -0.00703338 
      3.0161338    -0.000834469     -0.00035763       0.0109673     -0.00715259 
      3.0166497    -0.000953682    -0.000834469       0.0108481     -0.00810629 
      3.0172411    -0.000834469    -0.000476841       0.0110865      -0.0082255 
      3.0178377               0      0.00059605       0.0102521      -0.0082255 
      3.0184395               0      0.00059605      0.00870234     -0.00894075 
      3.0190462     -0.00035763     0.000715259      0.00798708     -0.00917917 
      3.0196576    -0.000715259     0.000476841      0.00846392     -0.00917917 
      3.0201946    -0.000834469      0.00011921      0.00965601     -0.00894075 
      3.0208146     -0.00131131     -0.00035763       0.0104905     -0.00870234 
      3.0214389     -0.00107289      0.00011921       0.0102521     -0.00894075 
      3.0220673    -0.000476841     -0.00035763      0.00917917     -0.00941759 
      3.0226998     -0.00035763               0      0.00870234      -0.0095368 
      3.0233363     -0.00035763      0.00023842      0.00894075     -0.00870234 
      3.0238943    -0.000476841     0.000476841       0.0100136     -0.00858313 
      3.0245377    -0.000476841      0.00107289       0.0103713     -0.00905996 
      3.0251069      0.00023842       0.0011921       0.0114442     -0.00905996 
      3.0256735      0.00011921      0.00131131       0.0121594     -0.00882155 
      3.0263263     0.000476841      0.00107289       0.0120402     -0.00882155 
      3.0269824      0.00023842               0       0.0115634     -0.00905996 
      3.0276417      0.00011921     -0.00023842       0.0104905     -0.00858313 
      3.0283039     -0.00023842     -0.00035763       0.0101328     -0.00810629 
      3.0289691     -0.00059605      0.00011921       0.0100136     -0.00798708 
      3.0295514     -0.00059605      0.00059605      0.00965601     -0.00762945 
      3.0303078    -0.000476841     0.000715259      0.00894075     -0.00751021 
      3.0309812    -0.000476841     0.000834469      0.00870234     -0.00739101 
      3.0316571      0.00023842       0.0011921      0.00905996     -0.00715259 
      3.0322485               0      0.00143052      0.00941759     -0.00762945 
      3.0328472     -0.00011921       0.0011921      0.00977522     -0.00834471 
      3.0334422    -0.000476841     0.000834469       0.0101328     -0.00846392 
      3.0341267    -0.000834469      0.00059605      0.00965601     -0.00810629 
      3.0348133     -0.00107289      0.00023842       0.0095368     -0.00810629 
