> Measurement made Wed Jan  3 18:29:19 2024
> Main magnet sweep  3.00000 to  5.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.00000 T 
> ITC set at   50.000 K, T1:  49.700 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 234.993600 Ohm corresponds to T = 51.363499 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.688770 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
50 K  
Original linear polarization
-

>BEGIN
      3.0000126      -0.0110865      -0.0269414       0.0023842      0.00178815 
      3.0000497      -0.0104905      -0.0268222      0.00262262      0.00143052 
      3.0001105     -0.00989443       -0.026107      0.00286104      0.00131131 
      3.0001831      -0.0095368      -0.0251533       0.0023842      0.00143052 
      3.0002865     -0.00965601      -0.0249149       0.0023842      0.00178815 
      3.0003942      -0.0100136      -0.0250341      0.00250341      0.00178815 
      3.0005179      -0.0106097      -0.0250341      0.00298025       0.0011921 
      3.0006786      -0.0109673      -0.0250341      0.00321867     0.000715259 
       3.000859      -0.0103713      -0.0250341      0.00357629      0.00023842 
      3.0010584      -0.0101328      -0.0250341      0.00405314      0.00011921 
       3.001249     -0.00965601      -0.0251533      0.00464919               0 
      3.0014515     -0.00989443      -0.0256301      0.00464919      0.00023842 
      3.0016998     -0.00941759      -0.0257493      0.00452998      0.00035763 
      3.0019322     -0.00882155      -0.0258685      0.00405314      0.00035763 
      3.0022115     -0.00894075      -0.0262262      0.00429156     0.000834469 
      3.0025065     -0.00882155       -0.026107      0.00512603     0.000834469 
      3.0028166     -0.00917917      -0.0252725      0.00512603       0.0011921 
      3.0031414     -0.00989443      -0.0250341      0.00464919      0.00190736 
      3.0034362      -0.0102521      -0.0256301      0.00429156      0.00154973 
      3.0037871     -0.00977522      -0.0256301      0.00488761     0.000834469 
      3.0041513      -0.0102521      -0.0252725      0.00488761     0.000834469 
      3.0045283      -0.0104905      -0.0253917      0.00405314       0.0011921 
      3.0048672      -0.0101328      -0.0252725      0.00381473      0.00154973 
      3.0053192      -0.0106097      -0.0257493      0.00393394      0.00143052 
      3.0056788      -0.0116826      -0.0258685      0.00333787       0.0011921 
      3.0060503      -0.0127555      -0.0255109      0.00321867      0.00178815 
      3.0064268      -0.0120402      -0.0247956      0.00321867      0.00190736 
      3.0068686     -0.00989443      -0.0245572      0.00321867      0.00131131 
      3.0073205     -0.00917917      -0.0250341      0.00250341     0.000953682 
      3.0077228     -0.00917917      -0.0252725      0.00298025      0.00059605 
      3.0081931     -0.00941759      -0.0251533      0.00381473     0.000715259 
      3.0086727      -0.0101328      -0.0249149      0.00452998      0.00131131 
      3.0091022      -0.0114442      -0.0249149      0.00405314      0.00131131 
      3.0095344      -0.0118018      -0.0247956      0.00345708      0.00143052 
      3.0099772      -0.0118018      -0.0245572      0.00321867      0.00178815 
      3.0104223      -0.0114442      -0.0255109      0.00262262      0.00131131 
      3.0109401      -0.0112057      -0.0256301      0.00226499     0.000476841 
       3.011398      -0.0109673      -0.0251533      0.00274183     -0.00011921 
      3.0119301      -0.0104905      -0.0250341      0.00357629      0.00023842 
      3.0124044     -0.00989443      -0.0250341      0.00345708       0.0011921 
      3.0129499     -0.00929838      -0.0255109      0.00309946      0.00143052 
      3.0135022     -0.00941759      -0.0258685      0.00357629       0.0011921 
      3.0139893     -0.00977522      -0.0258685      0.00452998     0.000953682 
      3.0145538      -0.0100136      -0.0256301      0.00536445     0.000715259 
       3.015051     -0.00965601      -0.0250341      0.00536445     0.000715259 
      3.0156269     -0.00977522      -0.0249149      0.00512603     0.000476841 
      3.0162086     -0.00989443      -0.0253917      0.00429156      0.00023842 
      3.0167251     -0.00989443       -0.026107      0.00298025      0.00035763 
      3.0172411      -0.0100136       -0.026107      0.00286104     0.000715259 
      3.0178377     -0.00989443       -0.026107      0.00321867      0.00035763 
       3.018367     -0.00929838       -0.026107      0.00381473     0.000715259 
      3.0189731     -0.00846392      -0.0265838      0.00417235       0.0011921 
       3.019584     -0.00929838      -0.0262262      0.00429156       0.0011921 
      3.0201205     -0.00977522      -0.0257493      0.00464919      0.00131131 
      3.0207399      -0.0100136      -0.0259877      0.00512603      0.00107289 
      3.0213637      -0.0102521      -0.0263454      0.00584128       0.0011921 
      3.0219111      -0.0101328      -0.0258685      0.00572208     0.000834469 
      3.0225426      -0.0106097      -0.0255109      0.00512603     0.000834469 
      3.0231016      -0.0110865      -0.0259877       0.0047684     0.000953682 
      3.0237405      -0.0104905      -0.0262262      0.00429156     0.000834469 
       3.024383      -0.0108481       -0.026107      0.00381473     0.000834469 
      3.0250291      -0.0101328      -0.0265838       0.0036955      0.00059605 
      3.0255953     -0.00977522      -0.0268222      0.00357629     0.000715259 
      3.0262478      -0.0095368      -0.0274183      0.00393394      0.00107289 
      3.0269035     -0.00941759      -0.0275375      0.00405314       0.0011921 
      3.0275624     -0.00917917      -0.0268222       0.0036955       0.0011921 
      3.0282243     -0.00977522      -0.0263454      0.00417235      0.00178815 
      3.0288891      -0.0095368      -0.0259877      0.00417235      0.00131131 
      3.0295568      -0.0101328      -0.0257493       0.0036955      0.00143052 
      3.0301412      -0.0110865      -0.0255109      0.00405314      0.00131131 
      3.0307331      -0.0106097      -0.0249149      0.00417235      0.00143052 
      3.0313215      -0.0106097      -0.0245572       0.0036955      0.00190736 
      3.0319987      -0.0112057      -0.0245572      0.00298025      0.00190736 
      3.0326783      -0.0114442      -0.0250341      0.00250341      0.00190736 
      3.0333602      -0.0102521      -0.0255109      0.00226499      0.00202657 
      3.0340444      -0.0095368      -0.0255109      0.00286104      0.00131131 
