> Measurement made Thu Jan 11 12:44:09 2024
> Main magnet sweep  8.00000 to  0.00000 Tesla at  6.009 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at   10.000 K, T1:   9.998 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 385.295700 Ohm corresponds to T = 10.373538 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 15.320370 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.3 mV
> Reference attn 3 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
Perp other crystal. 1mm thick
10K
-

>BEGIN
      7.9999874       0.0036955     0.000715259     0.000953682      0.00882155 
      7.9999502       0.0036955       0.0011921      0.00190736      0.00882155 
      7.9998893      0.00333787      0.00131131      0.00250341      0.00834471 
      7.9998053      0.00321867      0.00166894      0.00202657      0.00810629 
      7.9996992      0.00345708      0.00166894      0.00143052      0.00810629 
      7.9995715      0.00357629      0.00154973      0.00107289      0.00834471 
      7.9994231       0.0036955      0.00178815     0.000834469      0.00810629 
      7.9992546      0.00357629      0.00178815     0.000834469      0.00774866 
      7.9990667      0.00321867      0.00131131      0.00107289      0.00762945 
        7.99886      0.00298025      0.00131131     0.000953682      0.00798708 
      7.9986352      0.00298025      0.00131131     0.000834469      0.00846392 
      7.9983929      0.00309946       0.0011921      0.00059605      0.00834471 
      7.9981336      0.00309946     0.000834469     0.000715259      0.00846392 
       7.997858      0.00321867      0.00023842     0.000953682      0.00858313 
      7.9975665      0.00345708      0.00035763       0.0011921      0.00870234 
      7.9972597      0.00357629      0.00059605       0.0011921      0.00810629 
      7.9969381      0.00405314     0.000953682      0.00131131      0.00810629 
      7.9966022      0.00393394      0.00143052       0.0011921      0.00846392 
      7.9962524      0.00381473      0.00154973     0.000834469      0.00834471 
      7.9958893      0.00417235      0.00154973      0.00154973       0.0082255 
      7.9955133      0.00405314      0.00178815      0.00190736      0.00834471 
      7.9951248      0.00357629      0.00154973      0.00143052      0.00858313 
      7.9947242       0.0036955      0.00154973       0.0011921      0.00846392 
      7.9943119      0.00381473       0.0011921       0.0011921      0.00858313 
      7.9938883      0.00381473     0.000834469      0.00143052       0.0082255 
      7.9934539      0.00393394       0.0011921      0.00143052      0.00810629 
      7.9930088      0.00345708      0.00154973       0.0011921      0.00774866 
      7.9925536      0.00274183      0.00178815     0.000834469      0.00774866 
      7.9920885       0.0023842      0.00154973     0.000834469      0.00762945 
      7.9916139      0.00250341      0.00178815      0.00011921      0.00751021 
      7.9911301      0.00345708      0.00143052     -0.00035763      0.00739101 
      7.9906374      0.00381473       0.0011921     -0.00035763      0.00751021 
      7.9901361      0.00345708      0.00107289      0.00023842      0.00739101 
      7.9896264      0.00381473     0.000953682     0.000834469      0.00715259 
      7.9891088      0.00429156       0.0011921     0.000715259      0.00679496 
      7.9885833      0.00441077       0.0011921     0.000834469      0.00691417 
      7.9880503      0.00393394       0.0011921      0.00143052       0.0072718 
      7.9875101      0.00345708      0.00107289      0.00202657       0.0082255 
      7.9869628      0.00321867      0.00143052      0.00226499      0.00870234 
      7.9864087      0.00298025      0.00143052      0.00202657      0.00834471 
      7.9858481      0.00345708      0.00178815      0.00190736      0.00774866 
      7.9852812       0.0036955      0.00202657      0.00202657      0.00774866 
      7.9847081       0.0036955      0.00166894      0.00190736      0.00834471 
       7.984129       0.0036955      0.00154973      0.00154973      0.00870234 
      7.9835443      0.00381473      0.00143052     0.000834469      0.00846392 
       7.982954      0.00381473      0.00131131      0.00035763       0.0082255 
        7.98243      0.00345708      0.00131131      0.00059605      0.00810629 
      7.9817575       0.0036955      0.00107289     0.000953682       0.0082255 
      7.9811516      0.00393394     0.000476841      0.00131131      0.00846392 
      7.9806145       0.0036955     0.000476841     0.000953682      0.00846392 
      7.9800786      0.00321867     0.000476841     0.000715259      0.00834471 
      7.9794598      0.00333787      0.00035763     0.000834469      0.00846392 
      7.9789166      0.00321867      0.00059605     0.000953682      0.00846392 
      7.9783652      0.00333787      0.00107289     0.000834469      0.00846392 
      7.9778156      0.00321867       0.0011921     0.000715259      0.00810629 
      7.9772629      0.00381473      0.00131131     0.000953682      0.00786787 
      7.9766254      0.00429156      0.00154973      0.00154973      0.00774866 
      7.9760613      0.00464919      0.00154973      0.00178815      0.00739101 
      7.9754995      0.00393394      0.00154973      0.00190736      0.00703338 
      7.9749298      0.00345708      0.00178815      0.00202657      0.00667575 
      7.9742792       0.0036955      0.00178815      0.00214578      0.00715259 
      7.9736252      0.00381473      0.00131131      0.00226499      0.00715259 
      7.9730523      0.00357629     0.000715259      0.00190736      0.00715259 
       7.972477      0.00357629     0.000834469      0.00143052      0.00786787 
      7.9718144      0.00417235     0.000953682      0.00131131      0.00858313 
      7.9711488      0.00393394      0.00131131       0.0011921      0.00882155 
      7.9704804      0.00357629      0.00143052      0.00190736      0.00894075 
      7.9698093       0.0036955      0.00154973      0.00226499      0.00870234 
      7.9691354      0.00381473      0.00154973      0.00226499      0.00882155 
      7.9684591       0.0036955      0.00178815      0.00214578      0.00905996 
      7.9677802      0.00393394      0.00202657      0.00178815      0.00870234 
      7.9670989      0.00357629      0.00190736     0.000953682      0.00846392 
      7.9664153      0.00298025      0.00154973      0.00131131      0.00846392 
      7.9657294      0.00321867      0.00131131      0.00190736      0.00858313 
      7.9650414      0.00357629     0.000715259      0.00190736      0.00882155 
      7.9643512       0.0036955     0.000834469      0.00166894      0.00894075 
       7.963659      0.00452998      0.00131131      0.00166894      0.00858313 
      7.9629649      0.00500682      0.00166894      0.00214578      0.00846392 
