> Measurement made Wed Jan 10 16:55:05 2024
> Main magnet sweep  2.50000 to  7.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  2.99818 T 
> ITC set at  200.000 K, T1: 200.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 128.354200 Ohm corresponds to T = 200.826559 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.825530 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.3 mV
> Reference attn 3 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
Perp other crystal. 1mm thick
200K
-

>BEGIN
      2.5000126      0.00035763     -0.00429156      0.00762945      0.00762945 
      2.5000497      0.00035763     -0.00452998       0.0082255      0.00739101 
      2.5001105      0.00035763     -0.00512603       0.0082255      0.00691417 
      2.5001943               0     -0.00548366      0.00846392      0.00667575 
      2.5003003    -0.000476841     -0.00548366      0.00798708      0.00691417 
      2.5004445    -0.000476841     -0.00512603      0.00751021      0.00703338 
      2.5005951      0.00023842     -0.00536445      0.00798708      0.00751021 
      2.5007657      0.00059605     -0.00512603      0.00798708      0.00762945 
      2.5009556     0.000715259     -0.00524524       0.0082255      0.00786787 
      2.5011641      0.00023842     -0.00524524      0.00786787      0.00810629 
      2.5013906      0.00035763     -0.00524524      0.00762945      0.00798708 
      2.5016346      0.00011921     -0.00524524      0.00762945      0.00762945 
      2.5018955      0.00011921     -0.00488761      0.00739101      0.00762945 
      2.5021726      0.00059605     -0.00536445      0.00691417      0.00786787 
      2.5024655     -0.00035763     -0.00584128      0.00655654       0.0082255 
      2.5027736     -0.00011921     -0.00560287      0.00655654      0.00798708 
      2.5030964               0     -0.00536445      0.00703338      0.00774866 
      2.5034334               0     -0.00536445      0.00751021      0.00751021 
      2.5037842      0.00023842     -0.00548366      0.00810629      0.00751021 
      2.5041483      0.00035763     -0.00584128      0.00798708      0.00751021 
      2.5045252      0.00023842     -0.00524524      0.00786787      0.00715259 
      2.5049146      0.00023842     -0.00500682       0.0082255      0.00715259 
       2.505316      0.00035763     -0.00512603      0.00810629      0.00715259 
      2.5057289      0.00035763     -0.00524524      0.00751021      0.00703338 
      2.5061531      0.00035763     -0.00536445      0.00679496      0.00679496 
      2.5065354      0.00059605     -0.00524524      0.00679496      0.00691417 
      2.5069797     0.000834469     -0.00488761      0.00715259      0.00715259 
      2.5074342     0.000953682     -0.00500682      0.00715259      0.00715259 
      2.5078985       0.0011921     -0.00500682      0.00643733      0.00751021 
      2.5083111       0.0011921     -0.00524524      0.00619891      0.00751021 
       2.508793      0.00107289     -0.00524524      0.00631812       0.0072718 
      2.5092838     0.000834469     -0.00512603      0.00643733      0.00739101 
      2.5097832      0.00059605     -0.00548366      0.00631812      0.00739101 
       2.510291     0.000953682     -0.00536445      0.00655654       0.0072718 
      2.5108068     0.000834469     -0.00536445      0.00774866      0.00762945 
       2.511263      0.00011921     -0.00548366      0.00846392      0.00762945 
      2.5117932     -0.00011921     -0.00512603      0.00870234      0.00751021 
      2.5123307      0.00011921     -0.00524524      0.00858313      0.00739101 
      2.5128753     0.000715259     -0.00536445      0.00846392      0.00703338 
      2.5134267      0.00143052     -0.00524524      0.00774866       0.0072718 
      2.5139848      0.00154973      -0.0047684      0.00739101       0.0072718 
      2.5145492      0.00107289      -0.0047684      0.00751021      0.00751021 
      2.5151198     0.000715259     -0.00464919      0.00751021      0.00774866 
      2.5156964      0.00011921     -0.00452998      0.00703338      0.00762945 
      2.5162788     -0.00035763      -0.0047684      0.00703338       0.0072718 
      2.5167959     -0.00011921     -0.00524524      0.00751021      0.00691417 
      2.5173886      0.00023842     -0.00596049      0.00774866      0.00715259 
      2.5179865      0.00023842      -0.0060797       0.0082255      0.00774866 
      2.5185895      0.00059605      -0.0060797      0.00810629      0.00810629 
      2.5191974     0.000834469     -0.00536445      0.00774866      0.00762945 
        2.51981      0.00035763     -0.00488761      0.00739101      0.00691417 
      2.5204272      0.00023842     -0.00524524      0.00691417      0.00631812 
       2.520969               0     -0.00548366      0.00703338      0.00643733 
      2.5215943               0     -0.00536445      0.00739101       0.0072718 
      2.5222238      0.00011921     -0.00500682      0.00715259      0.00762945 
      2.5228573               0     -0.00488761      0.00655654      0.00739101 
      2.5234947               0     -0.00441077      0.00679496      0.00762945 
      2.5241358      0.00011921      -0.0047684      0.00691417      0.00762945 
      2.5247806     0.000476841     -0.00488761      0.00715259      0.00774866 
      2.5254288      0.00059605     -0.00500682      0.00762945      0.00762945 
      2.5260805      0.00035763      -0.0047684      0.00810629      0.00762945 
      2.5267354     -0.00035763      -0.0047684      0.00774866      0.00739101 
      2.5273934     -0.00059605     -0.00488761      0.00739101      0.00751021 
      2.5279751               0     -0.00464919      0.00751021      0.00762945 
      2.5286388      0.00035763     -0.00441077      0.00774866      0.00762945 
      2.5293054      0.00011921     -0.00417235      0.00798708      0.00739101 
      2.5299748     -0.00023842     -0.00429156      0.00762945      0.00739101 
      2.5306469     -0.00059605      -0.0047684      0.00798708      0.00739101 
      2.5313215     -0.00035763     -0.00524524      0.00762945      0.00715259 
      2.5319987      0.00035763     -0.00512603      0.00739101      0.00691417 
      2.5326783     0.000715259     -0.00500682      0.00715259      0.00691417 
      2.5333602     0.000715259     -0.00512603      0.00751021      0.00679496 
      2.5340444     0.000953682     -0.00536445      0.00774866      0.00691417 
      2.5347308     0.000834469     -0.00536445      0.00798708      0.00691417 
      2.5354193     0.000715259     -0.00536445      0.00786787      0.00679496 
      2.5361098     0.000834469     -0.00548366      0.00810629      0.00703338 
