> Measurement made Mon Jan  8 16:34:39 2024
> Main magnet sweep  3.00000 to  6.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.00000 T 
> ITC set at  250.000 K, T1: 249.900 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 114.516800 Ohm corresponds to T = 251.167008 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.814030 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
250 K  
Original linear polarization
-

>BEGIN
      3.0000084    -0.000953682      0.00452998      0.00035763      -0.0072718 
      3.0000331    -0.000834469      0.00417235      0.00011921     -0.00703338 
      3.0000737     -0.00107289      0.00393394      0.00011921     -0.00715259 
      3.0001296     -0.00107289      0.00429156      0.00059605     -0.00739101 
      3.0002002     -0.00107289      0.00429156      0.00035763      -0.0072718 
      3.0002852     -0.00107289      0.00429156      0.00035763     -0.00703338 
       3.000384      -0.0011921      0.00381473     0.000834469     -0.00703338 
      3.0005114     -0.00154973      0.00357629     0.000715259      -0.0072718 
      3.0006381     -0.00154973       0.0036955     -0.00023842     -0.00786787 
      3.0007772     -0.00107289      0.00417235    -0.000476841      -0.0082255 
      3.0009283    -0.000715259      0.00429156    -0.000834469     -0.00882155 
      3.0010911    -0.000476841       0.0047684    -0.000953682     -0.00905996 
      3.0012651     -0.00023842      0.00464919    -0.000476841     -0.00846392 
      3.0014499               0      0.00429156     -0.00023842     -0.00762945 
      3.0016453               0      0.00393394      0.00035763     -0.00774866 
      3.0018239     -0.00023842      0.00333787     0.000476841     -0.00786787 
      3.0020379     -0.00023842      0.00321867      0.00023842     -0.00810629 
      3.0022615    -0.000476841       0.0036955     -0.00035763     -0.00798708 
      3.0024943    -0.000953682      0.00381473     -0.00035763     -0.00834471 
      3.0027359     -0.00143052      0.00393394               0      -0.0082255 
      3.0029557     -0.00131131      0.00381473      0.00035763     -0.00786787 
      3.0032134     -0.00107289      0.00405314     0.000715259     -0.00798708 
       3.003479     -0.00107289      0.00417235      0.00035763     -0.00834471 
      3.0037525     -0.00166894      0.00381473      0.00011921     -0.00834471 
      3.0039972     -0.00131131      0.00417235      0.00035763     -0.00774866 
      3.0042846    -0.000953682      0.00452998      0.00035763     -0.00762945 
      3.0046172     -0.00107289      0.00417235     0.000476841     -0.00810629 
      3.0049194      -0.0011921      0.00381473      0.00059605      -0.0082255 
      3.0052282     -0.00131131       0.0036955      0.00035763      -0.0082255 
      3.0055433    -0.000834469      0.00393394      0.00059605     -0.00810629 
      3.0058646    -0.000715259      0.00441077      0.00059605      -0.0082255 
      3.0061496     -0.00035763      0.00441077               0     -0.00870234 
      3.0064819     -0.00023842      0.00417235      0.00011921     -0.00894075 
      3.0068197     -0.00131131      0.00393394      0.00023842     -0.00846392 
       3.007163     -0.00166894      0.00357629      0.00059605     -0.00786787 
      3.0075115     -0.00131131      0.00345708     0.000834469     -0.00786787 
      3.0079106     -0.00107289      0.00357629     0.000715259      -0.0082255 
      3.0082696    -0.000953682       0.0036955     0.000715259     -0.00810629 
      3.0086333    -0.000715259      0.00381473     0.000476841     -0.00786787 
      3.0090015      -0.0011921      0.00405314     -0.00023842     -0.00774866 
      3.0093741     -0.00131131      0.00381473     -0.00011921     -0.00774866 
       3.009751    -0.000834469       0.0036955      0.00035763     -0.00762945 
      3.0101319     -0.00107289      0.00309946      0.00035763     -0.00739101 
      3.0105169     -0.00143052      0.00309946      0.00011921     -0.00739101 
      3.0109056      -0.0011921      0.00393394     0.000834469      -0.0072718 
      3.0112981    -0.000715259      0.00429156     0.000953682     -0.00715259 
      3.0116941    -0.000476841      0.00429156      0.00059605     -0.00751021 
      3.0120936    -0.000476841       0.0047684      0.00059605     -0.00810629 
      3.0124964     -0.00107289      0.00464919     0.000715259     -0.00786787 
      3.0128504    -0.000953682      0.00464919     0.000715259     -0.00786787 
      3.0132592    -0.000953682      0.00512603     0.000834469     -0.00810629 
       3.013671    -0.000834469      0.00500682      0.00023842     -0.00810629 
      3.0140858     -0.00131131      0.00441077      0.00023842     -0.00810629 
      3.0145034     -0.00190736      0.00417235      0.00011921     -0.00798708 
      3.0149237     -0.00154973       0.0036955      0.00011921     -0.00858313 
      3.0152925     -0.00154973       0.0036955               0     -0.00858313 
      3.0157177     -0.00131131       0.0036955      0.00023842      -0.0082255 
      3.0161454      -0.0011921      0.00345708     0.000476841      -0.0082255 
      3.0165756     -0.00107289      0.00298025     -0.00023842     -0.00810629 
       3.017008     -0.00107289       0.0036955    -0.000476841     -0.00810629 
      3.0174427    -0.000715259      0.00393394     -0.00023842     -0.00834471 
      3.0178796     -0.00059605      0.00393394      0.00011921     -0.00846392 
      3.0183186     -0.00011921      0.00452998      0.00059605     -0.00846392 
      3.0187596     -0.00011921       0.0047684      0.00011921     -0.00810629 
      3.0192026    -0.000715259      0.00464919               0     -0.00774866 
       3.019594     -0.00143052      0.00464919      0.00011921     -0.00715259 
      3.0199832     -0.00166894      0.00452998               0     -0.00715259 
      3.0203738     -0.00202657      0.00417235               0     -0.00751021 
      3.0208234     -0.00190736      0.00393394     -0.00011921     -0.00786787 
      3.0212746     -0.00166894      0.00417235     -0.00035763      -0.0082255 
      3.0217855     -0.00154973      0.00452998     -0.00023842     -0.00846392 
      3.0222401     -0.00214578      0.00464919      0.00011921     -0.00870234 
      3.0226963     -0.00262262      0.00500682      0.00035763     -0.00870234 
      3.0231539     -0.00274183      0.00536445     -0.00023842     -0.00834471 
      3.0236129     -0.00262262      0.00536445     -0.00035763     -0.00834471 
      3.0240732      -0.0023842      0.00500682     -0.00035763     -0.00858313 
