> Measurement made Mon Jan  8 13:39:30 2024
> Main magnet sweep  3.00000 to  6.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.49885 T 
> ITC set at  270.000 K, T1: 270.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 110.271600 Ohm corresponds to T = 271.153806 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.829210 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
270 K  
Original linear polarization
-

>BEGIN
      6.4999916      0.00011921      0.00631812     -0.00286104      -0.0108481 
      6.4999669      0.00011921      0.00596049     -0.00250341      -0.0108481 
        6.49992      0.00023842      0.00548366     -0.00214578      -0.0110865 
      6.4998622     0.000476841      0.00536445     -0.00214578      -0.0107289 
      6.4997998      0.00023842      0.00536445     -0.00178815      -0.0104905 
      6.4997148               0      0.00548366     -0.00166894      -0.0108481 
       6.499616     -0.00011921      0.00536445     -0.00154973      -0.0109673 
       6.499518     -0.00107289      0.00536445     -0.00166894      -0.0108481 
      6.4993788    -0.000715259      0.00512603     -0.00202657      -0.0113249 
      6.4992413      0.00035763      0.00524524     -0.00202657      -0.0113249 
      6.4991102     0.000834469      0.00512603     -0.00190736      -0.0109673 
      6.4989503       0.0011921      0.00488761     -0.00202657      -0.0109673 
      6.4987791      0.00107289      0.00524524     -0.00250341      -0.0112057 
      6.4985969      0.00059605      0.00536445      -0.0023842      -0.0114442 
      6.4984041      0.00035763      0.00512603     -0.00202657      -0.0114442 
      6.4982012      0.00023842      0.00500682     -0.00202657      -0.0113249 
      6.4980161               0      0.00524524     -0.00226499      -0.0109673 
      6.4977948     -0.00011921      0.00536445     -0.00214578      -0.0108481 
      6.4975643               0      0.00548366     -0.00202657      -0.0109673 
      6.4973248     -0.00035763      0.00548366     -0.00202657      -0.0112057 
      6.4971069    -0.000715259      0.00524524     -0.00202657      -0.0109673 
      6.4968845    -0.000953682      0.00512603      -0.0023842      -0.0106097 
      6.4966218    -0.000953682      0.00512603     -0.00262262      -0.0107289 
      6.4963512    -0.000476841      0.00512603     -0.00274183      -0.0109673 
       6.496073     -0.00023842       0.0047684     -0.00298025      -0.0107289 
      6.4958243               0       0.0047684     -0.00309946      -0.0108481 
      6.4955325      0.00059605      0.00524524      -0.0023842      -0.0112057 
      6.4952337      0.00011921      0.00524524     -0.00202657      -0.0116826 
      6.4949283    -0.000476841      0.00548366      -0.0023842      -0.0116826 
      6.4946163    -0.000476841      0.00584128     -0.00274183      -0.0116826 
      6.4942981     -0.00035763      0.00584128     -0.00298025      -0.0116826 
      6.4939738     -0.00035763      0.00536445     -0.00274183      -0.0121594 
      6.4936437     -0.00035763      0.00464919      -0.0023842      -0.0120402 
      6.4933485               0      0.00464919     -0.00250341      -0.0120402 
      6.4930079     0.000715259       0.0047684     -0.00274183      -0.0116826 
       6.492662     0.000834469      0.00488761     -0.00250341      -0.0114442 
      6.4923562     0.000953682      0.00464919      -0.0023842      -0.0114442 
      6.4920008     0.000834469      0.00417235     -0.00250341      -0.0112057 
       6.491687     0.000476841      0.00393394     -0.00274183      -0.0107289 
      6.4913228      0.00023842      0.00405314     -0.00321867      -0.0108481 
       6.490954     -0.00011921      0.00464919     -0.00321867      -0.0112057 
      6.4905809     -0.00023842      0.00512603     -0.00274183      -0.0113249 
       6.490249      0.00011921      0.00572208     -0.00262262      -0.0114442 
      6.4898681      0.00035763      0.00584128      -0.0023842      -0.0112057 
      6.4895326               0      0.00548366      -0.0023842      -0.0109673 
      6.4891912               0      0.00500682     -0.00250341      -0.0110865 
      6.4887996      0.00011921       0.0047684     -0.00286104      -0.0110865 
      6.4884044    -0.000476841      0.00464919     -0.00357629      -0.0108481 
       6.488057     -0.00107289      0.00464919      -0.0036955      -0.0106097 
       6.487707    -0.000953682      0.00452998     -0.00357629      -0.0103713 
      6.4873025     -0.00107289      0.00429156     -0.00333787      -0.0101328 
      6.4868949    -0.000476841      0.00429156     -0.00262262      -0.0101328 
      6.4864314     -0.00023842      0.00429156     -0.00250341      -0.0103713 
      6.4860174     -0.00035763      0.00452998     -0.00298025      -0.0104905 
      6.4856004    -0.000476841      0.00512603     -0.00357629      -0.0109673 
      6.4851808    -0.000715259      0.00500682     -0.00381473      -0.0115634 
      6.4847584    -0.000953682       0.0047684     -0.00405314       -0.011921 
       6.484388    -0.000476841      0.00464919     -0.00393394       -0.011921 
      6.4838511      0.00011921      0.00500682      -0.0036955      -0.0120402 
       6.483421      0.00023842      0.00512603     -0.00357629      -0.0114442 
      6.4829885     -0.00023842      0.00524524     -0.00321867      -0.0112057 
      6.4825538     -0.00035763      0.00548366      -0.0023842      -0.0110865 
      6.4821169               0      0.00500682     -0.00202657      -0.0108481 
      6.4817342      0.00059605       0.0047684      -0.0023842      -0.0110865 
      6.4812934               0      0.00464919     -0.00250341      -0.0109673 
      6.4808507    -0.000834469      0.00464919     -0.00214578      -0.0108481 
       6.480406    -0.000953682      0.00452998     -0.00202657      -0.0108481 
      6.4799595      -0.0011921      0.00441077     -0.00226499      -0.0108481 
      6.4795113    -0.000953682      0.00488761     -0.00190736      -0.0108481 
      6.4790613     -0.00011921      0.00500682     -0.00190736      -0.0110865 
      6.4786675      0.00011921      0.00500682     -0.00166894      -0.0115634 
      6.4782145     -0.00035763      0.00464919     -0.00202657      -0.0120402 
      6.4777599     -0.00023842      0.00464919      -0.0023842      -0.0120402 
      6.4773037               0      0.00500682     -0.00190736      -0.0115634 
      6.4768461    -0.000476841      0.00500682     -0.00143052      -0.0114442 
      6.4763871    -0.000715259      0.00512603    -0.000953682      -0.0109673 
