> Measurement made Mon Jan  8 13:39:30 2024
> Main magnet sweep  3.00000 to  6.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  3.49885 T 
> ITC set at  270.000 K, T1: 270.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 110.271600 Ohm corresponds to T = 271.153806 K at 0 T 
> LockIn1:   2 mV, Mod Freq 38310.000000 Hz, Phase 160.510000 degr, Ampl. 0.120000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 38310.000000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.829210 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.25 mm, Attenuator Grid 22 dB
> Source attn 15 dB, Diode reading (-20dB) 0.48 mV
> Reference attn 6 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn 120 GHz in plane
270 K  
Original linear polarization
-

>BEGIN
      3.0000084      0.00059605      0.00131131      0.00023842      -0.0060797 
      3.0000291      0.00059605      0.00107289      0.00023842     -0.00584128 
      3.0000676     0.000476841      0.00131131     -0.00035763     -0.00560287 
      3.0001143     -0.00011921      0.00154973    -0.000834469     -0.00572208 
      3.0001814     -0.00035763      0.00178815     -0.00107289     -0.00560287 
      3.0002628     -0.00035763      0.00190736    -0.000953682     -0.00536445 
      3.0003582               0      0.00214578     -0.00035763     -0.00512603 
      3.0004671      0.00035763      0.00178815               0     -0.00572208 
       3.000589     0.000715259      0.00131131    -0.000715259     -0.00619891 
      3.0007235     0.000953682       0.0011921      -0.0011921     -0.00596049 
      3.0008701     0.000953682      0.00143052      -0.0011921     -0.00560287 
      3.0010286      0.00059605      0.00143052    -0.000715259     -0.00596049 
      3.0011984    -0.000476841      0.00154973     -0.00035763     -0.00655654 
      3.0013554     -0.00131131      0.00190736     -0.00035763     -0.00643733 
      3.0015222     -0.00131131      0.00154973    -0.000834469     -0.00560287 
      3.0017213     -0.00107289      0.00154973     -0.00143052     -0.00536445 
      3.0019032    -0.000715259      0.00143052     -0.00190736     -0.00536445 
      3.0021209     -0.00035763      0.00131131     -0.00202657     -0.00560287 
       3.002348      0.00011921      0.00107289     -0.00154973     -0.00584128 
      3.0025841      0.00023842       0.0011921     -0.00107289     -0.00596049 
      3.0028291      0.00023842      0.00131131    -0.000953682     -0.00560287 
      3.0030496     0.000715259     0.000953682    -0.000953682     -0.00548366 
      3.0033102      0.00059605      0.00107289    -0.000715259     -0.00512603 
      3.0035788      0.00059605      0.00107289    -0.000476841     -0.00512603 
      3.0038551     0.000834469     0.000953682    -0.000834469     -0.00560287 
      3.0041044     0.000834469       0.0011921      -0.0011921     -0.00584128 
      3.0043569      0.00059605      0.00178815     -0.00107289      -0.0060797 
      3.0046531      0.00023842      0.00202657    -0.000715259     -0.00643733 
      3.0049561      0.00023842      0.00190736      0.00011921     -0.00631812 
      3.0053057      0.00011921      0.00154973      0.00023842     -0.00619891 
      3.0055815      0.00059605      0.00143052     -0.00011921     -0.00631812 
      3.0059036     0.000715259      0.00178815    -0.000715259     -0.00631812 
      3.0062315      0.00059605      0.00202657     -0.00107289     -0.00560287 
      3.0065652      0.00011921      0.00154973    -0.000953682     -0.00512603 
      3.0069044      0.00011921      0.00154973    -0.000834469     -0.00512603 
      3.0072489      0.00035763      0.00178815    -0.000715259     -0.00524524 
      3.0075987     0.000476841      0.00202657    -0.000834469     -0.00524524 
      3.0079077     0.000953682       0.0023842    -0.000834469     -0.00524524 
      3.0082667     0.000953682      0.00202657     -0.00023842     -0.00524524 
      3.0086303      0.00059605      0.00178815      0.00011921     -0.00524524 
      3.0089985      0.00011921      0.00107289      0.00023842     -0.00536445 
      3.0093262               0      0.00059605    -0.000476841     -0.00548366 
      3.0097025      0.00011921     0.000476841     -0.00107289     -0.00548366 
      3.0100829     -0.00023842      0.00107289      -0.0011921     -0.00536445 
      3.0104674     -0.00035763      0.00154973     -0.00131131     -0.00548366 
      3.0108556      0.00011921      0.00190736     -0.00154973      -0.0060797 
      3.0112476      0.00023842      0.00178815     -0.00178815     -0.00655654 
      3.0116432      0.00059605      0.00131131     -0.00226499     -0.00631812 
      3.0120423      0.00059605      0.00143052     -0.00214578     -0.00560287 
      3.0124447      0.00059605      0.00202657     -0.00214578     -0.00560287 
      3.0128504     0.000953682      0.00226499     -0.00143052     -0.00560287 
      3.0132592       0.0011921       0.0023842     -0.00131131     -0.00548366 
       3.013671     0.000715259      0.00214578      -0.0011921     -0.00524524 
      3.0140858      0.00059605      0.00190736     -0.00107289     -0.00488761 
      3.0145034     0.000834469      0.00226499      -0.0011921     -0.00512603 
      3.0149237     0.000953682      0.00226499     -0.00143052     -0.00536445 
      3.0153468       0.0011921      0.00143052     -0.00143052     -0.00524524 
      3.0157723     0.000834469       0.0011921     -0.00107289     -0.00524524 
      3.0162004       0.0011921      0.00154973     -0.00131131     -0.00548366 
      3.0166308     0.000953682      0.00143052     -0.00131131      -0.0060797 
      3.0170636      0.00059605      0.00154973      -0.0011921      -0.0060797 
      3.0174985      0.00023842      0.00178815     -0.00107289     -0.00596049 
      3.0179357      0.00011921      0.00178815     -0.00131131      -0.0060797 
      3.0183749     -0.00023842      0.00154973     -0.00154973     -0.00596049 
      3.0188162    -0.000715259      0.00143052     -0.00166894      -0.0060797 
      3.0192594    -0.000476841     0.000953682     -0.00107289     -0.00584128 
      3.0197045     -0.00023842     0.000834469    -0.000953682     -0.00560287 
      3.0201515    -0.000476841      0.00107289      -0.0011921     -0.00560287 
      3.0206002     -0.00035763      0.00107289     -0.00107289     -0.00548366 
      3.0210506      0.00035763     0.000834469    -0.000953682     -0.00560287 
      3.0215026      0.00059605     0.000953682    -0.000715259     -0.00560287 
      3.0219563      0.00035763      0.00143052    -0.000953682     -0.00548366 
      3.0224115      0.00011921      0.00143052    -0.000953682     -0.00500682 
      3.0228096               0      0.00154973     -0.00143052     -0.00512603 
      3.0232676     -0.00035763      0.00131131     -0.00154973     -0.00548366 
