> Measurement made Mon Apr  3 17:31:01 2023
> Main magnet sweep  8.35000 to  8.90000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.35000 T 
> ITC set at  100.000 K, T1: 100.030 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -42.836000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 37560.000000 Hz, Phase 173.980000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 37560.500000 Hz, Phase -6.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 13.203900 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 235.8 GHz (dial 3760) 
> Martin Pupplet setting 6.61 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.042 mV
> Reference attn 5 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
AgCrP2S6
240 GHz, at 100K
-
-

>BEGIN
      8.3500021     -0.00870234      0.00739101     -0.00137091     -0.00107289 
      8.3500073     -0.00804669       0.0072718     -0.00214578     -0.00059605 
      8.3500156     -0.00911957      0.00697377     -0.00178815     0.000536445 
      8.3500286      -0.0104309      0.00703338     -0.00137091     0.000774864 
       8.350043      -0.0120998      0.00649694     -0.00190736     0.000715259 
      8.3500604      -0.0127555       0.0060797     -0.00375511    -0.000834469 
      8.3500803      -0.0123382      0.00566247     -0.00381473     -0.00107289 
      8.3501063      -0.0127555       0.0036955     -0.00303985    -0.000476841 
      8.3501316      -0.0128151       0.0023246     -0.00262262      -0.0011921 
      8.3501597       -0.011623      0.00309946      -0.0036955     -0.00268222 
      8.3501945     -0.00971562      0.00500682     -0.00458959     -0.00315906 
      8.3502323     -0.00923878      0.00596049      -0.0036359     -0.00208618 
       8.350273      -0.0107289      0.00584128     -0.00280143    -0.000715259 
       8.350322      -0.0109077      0.00673535     -0.00208618       0.0011325 
      8.3503686      -0.0103713      0.00768906     -0.00256301     0.000178815 
      8.3504178     -0.00995403      0.00774866     -0.00321867      0.00035763 
