> Measurement made Tue Apr  4 16:00:45 2023
> Main magnet sweep  8.20000 to  9.00000 Tesla at  2.000 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00122 T 
> ITC set at  115.000 K, T1: 114.970 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -14.215000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 37560.000000 Hz, Phase 173.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 37560.500000 Hz, Phase -6.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 27.025000 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 14 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
AgCrP2S6
115K
-

>BEGIN
      8.2000042      -0.0102521       0.0108481     -0.00840431        0.012219 
      8.2000166      -0.0103117       0.0106693     -0.00834471       0.0121594 
      8.2000368      -0.0100136       0.0106097     -0.00798708       0.0128151 
      8.2000648     -0.00894075       0.0100732     -0.00751021       0.0133515 
      8.2001001     -0.00911957      0.00935799     -0.00798708       0.0130535 
      8.2001426     -0.00917917       0.0101925     -0.00846392       0.0123978 
      8.2001857     -0.00917917       0.0110865     -0.00834471        0.011921 
      8.2002335     -0.00941759       0.0110269     -0.00870234       0.0123978 
      8.2002863     -0.00989443       0.0103117     -0.00852352       0.0139475 
      8.2003528      -0.0106097      0.00977522     -0.00840431       0.0147224 
      8.2004253      -0.0111461       0.0095368     -0.00911957       0.0145436 
      8.2004941     -0.00959641      0.00977522     -0.00977522       0.0137687 
      8.2005776     -0.00864273       0.0101925      -0.0103713       0.0134111 
      8.2006667     -0.00900036       0.0102521      -0.0111461       0.0131131 
      8.2007487     -0.00983482       0.0105501      -0.0118018       0.0125766 
      8.2008476      -0.0100136      0.00977522      -0.0119806       0.0118018 
      8.2009389     -0.00941759      0.00917917      -0.0109077       0.0122786 
