> Measurement made Tue Apr  4 17:14:13 2023
> Main magnet sweep  8.20000 to  9.00000 Tesla at  2.000 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.20000 T 
> ITC set at  130.000 K, T1: 130.010 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -68.579000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 37560.000000 Hz, Phase 173.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 37560.500000 Hz, Phase -6.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 26.875100 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 14 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
AgCrP2S6
130K
-

>BEGIN
      8.2000042     -0.00983482       0.0184776       0.0141264     -0.00417235 
      8.2000166      -0.0095368       0.0183583       0.0136495     -0.00435117 
      8.2000338     -0.00864273       0.0184776       0.0132919     -0.00554326 
      8.2000572     -0.00780827        0.018716       0.0147224     -0.00649694 
       8.200086     -0.00756982        0.019014       0.0146032     -0.00655654 
      8.2001206     -0.00864273       0.0194312       0.0140668     -0.00590089 
      8.2001604      -0.0100732       0.0189544       0.0150204      -0.0047088 
      8.2002053      -0.0095368       0.0183583       0.0154973     -0.00447038 
       8.200263     -0.00786787       0.0186564        0.014782     -0.00357629 
      8.2003271     -0.00774866       0.0190736       0.0129343      -0.0036359 
      8.2003974     -0.00798708       0.0189544        0.011921     -0.00345708 
      8.2004642     -0.00882155       0.0181795       0.0122786     -0.00262262 
      8.2005455     -0.00756982       0.0169874       0.0127555     -0.00327827 
      8.2006211     -0.00643733       0.0168682       0.0111461     -0.00429156 
      8.2007008     -0.00762945       0.0182391       0.0114442     -0.00441077 
      8.2007853      -0.0104905        0.019014       0.0123978     -0.00411275 
      8.2008862     -0.00995403        0.018716        0.011921     -0.00315906 
