> Measurement made Mon Apr  3 16:01:44 2023
> Main magnet sweep  8.35000 to  8.90000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.35000 T 
> ITC set at  200.000 K, T1: 200.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 9.698000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 37560.000000 Hz, Phase 173.980000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 37560.500000 Hz, Phase -6.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 12.962500 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 235.8 GHz (dial 3760) 
> Martin Pupplet setting 6.61 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.22 mV
> Reference attn 5 dB, Diode reading (-30dB) 16 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
AgCrP2S6
240 GHz, at 250K
-
-

>BEGIN
      8.3500021     -0.00101329       0.0060201     -0.00560287      0.00673535 
      8.3500083      -0.0012517      0.00578168     -0.00548366      0.00691417 
      8.3500184     -0.00190736      0.00429156      -0.0047684      0.00751021 
      8.3500324      -0.0023842      0.00452998     -0.00333787      0.00864273 
      8.3500501      -0.0023842      0.00488761     -0.00333787      0.00858313 
      8.3500714     -0.00214578       0.0036359      -0.0036359      0.00798708 
      8.3500961     -0.00327827      0.00268222     -0.00447038      0.00745061 
      8.3501242     -0.00447038      0.00172854     -0.00417235      0.00780827 
      8.3501515     -0.00357629      0.00321867     -0.00458959       0.0082255 
      8.3501856      -0.0023246      0.00548366     -0.00512603      0.00804669 
      8.3502227     -0.00107289      0.00637773     -0.00447038      0.00792748 
      8.3502627      -0.0012517      0.00625852     -0.00351669       0.0082255 
      8.3503055     -0.00172854       0.0060797     -0.00315906       0.0082851 
      8.3503511     -0.00220539      0.00548366     -0.00429156      0.00685456 
      8.3503994     -0.00172854      0.00482801     -0.00542405       0.0060201 
      8.3504435     -0.00107289       0.0047088     -0.00590089      0.00613931 
      8.3505034     -0.00011921      0.00584128     -0.00637773      0.00619891 
