> Measurement made Wed Apr  5 11:13:46 2023
> Main magnet sweep  8.20000 to  9.00000 Tesla at  2.000 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.20000 T 
> ITC set at  130.000 K, T1: 286.300 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -36.349000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 37560.000000 Hz, Phase 173.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 37560.500000 Hz, Phase -6.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 26.522000 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 14 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
AgCrP2S6
286K
-

>BEGIN
      8.2000042     -0.00393394     -0.00137091      0.00309946     -0.00226499 
      8.2000689     -0.00524524     -0.00208618      0.00292064     -0.00154973 
      8.2001052     -0.00560287     -0.00190736      0.00375511     -0.00190736 
      8.2001426     -0.00536445     -0.00196697      0.00393394      -0.0023246 
       8.200192     -0.00560287      -0.0011325      0.00375511     -0.00160933 
      8.2002481     -0.00637773     -0.00143052      0.00399354     -0.00149012 
      8.2003357      -0.0072718      -0.0024438      0.00423196      -0.0023842 
      8.2004068     -0.00703338     -0.00262262      0.00375511     -0.00268222 
      8.2004838     -0.00655654     -0.00262262      0.00315906     -0.00190736 
      8.2005666     -0.00625852     -0.00220539      0.00262262      -0.0024438 
       8.200655     -0.00566247     -0.00208618      0.00327827     -0.00274183 
      8.2007487     -0.00548366      -0.0012517      0.00488761     -0.00196697 
      8.2008476      -0.0060201     -0.00154973      0.00542405     -0.00131131 
      8.2009389     -0.00625852     -0.00184775      0.00488761     -0.00154973 
       8.201033     -0.00524524     -0.00149012      0.00458959     -0.00184775 
      8.2011307     -0.00423196     -0.00107289      0.00321867     -0.00196697 
