> Measurement made Tue Apr  4 14:09:12 2023
> Main magnet sweep  8.00000 to  9.20000 Tesla at  2.000 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at   70.000 K, T1:  69.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -54.467000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 37560.000000 Hz, Phase 173.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 37560.500000 Hz, Phase -6.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 28.481500 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 14 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
AgCrP2S6
70K 3 averages
-
-
-

>BEGIN
      8.0000042      0.00166894       0.0149608     -0.00321867      -0.0248553 
      8.0000147      0.00166894       0.0162126     -0.00309946      -0.0236036 
       8.000034      0.00178815       0.0162722     -0.00387433      -0.0237824 
       8.000061      0.00154973       0.0166298      -0.0047088       -0.023842 
      8.0001001    -0.000655655       0.0180007      -0.0047684      -0.0232459 
      8.0001371    -0.000834469       0.0177623     -0.00441077      -0.0232459 
      8.0001857      0.00023842       0.0173451      -0.0047684      -0.0231863 
       8.000241      0.00178815       0.0174047     -0.00512603      -0.0243188 
      8.0003028      0.00184775       0.0169278     -0.00512603      -0.0250937 
      8.0003708      0.00172854        0.017047     -0.00429156      -0.0257493 
      8.0004449      0.00214578       0.0166894     -0.00411275      -0.0252725 
      8.0005143       0.0023246       0.0162126     -0.00441077      -0.0248553 
      8.0005992      0.00286104       0.0171066      -0.0036359      -0.0248553 
      8.0006785      0.00262262       0.0188352     -0.00280143      -0.0239016 
      8.0007611      0.00214578       0.0182987      -0.0011921      -0.0231267 
      8.0008607       0.0023842       0.0171066     -0.00184775      -0.0236036 
      8.0009516      0.00196697       0.0166894     -0.00268222      -0.0236036 
