> Measurement made Mon Apr  3 19:35:36 2023
> Main magnet sweep  8.35000 to  8.90000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.35000 T 
> ITC set at   80.000 K, T1:  79.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -7.229000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 37560.000000 Hz, Phase 173.980000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 37560.500000 Hz, Phase -6.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 13.526400 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 235.8 GHz (dial 3760) 
> Martin Pupplet setting 6.61 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.042 mV
> Reference attn 5 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
AgCrP2S6
240 GHz, at 80K
-
-

>BEGIN
      8.3500021      -0.0174047      0.00500682      0.00840431    -0.000774864 
      8.3500083      -0.0166298       0.0060797      0.00858313    -0.000834469 
       8.350017      -0.0169874       0.0060201      0.00840431     -0.00178815 
      8.3500286      -0.0177027      0.00554326      0.00858313     -0.00327827 
      8.3500454      -0.0176431      0.00542405      0.00876194     -0.00351669 
       8.350063      -0.0171663      0.00560287      0.00888115     -0.00262262 
      8.3500864      -0.0171066      0.00464919      0.00792748     -0.00131131 
      8.3501098      -0.0168682       0.0036955      0.00798708    -0.000834469 
      8.3501395      -0.0173451      0.00321867      0.00971562     -0.00214578 
       8.350168      -0.0182391      0.00298025       0.0107289     -0.00274183 
      8.3501989      -0.0186564      0.00226499       0.0108481     -0.00280143 
      8.3502371      -0.0188948      0.00202657       0.0101925     -0.00226499 
      8.3502781      -0.0193716      0.00321867      0.00989443     -0.00131131 
      8.3503166      -0.0186564      0.00429156       0.0082255    -0.000774864 
      8.3503628      -0.0185968      0.00542405      0.00816589      -0.0012517 
      8.3504053      -0.0177623      0.00548366      0.00959641     -0.00220539 
      8.3504564      -0.0175835      0.00542405      0.00894075     -0.00268222 
