> Measurement made Tue Apr  4 15:05:25 2023
> Main magnet sweep  8.00000 to  9.20000 Tesla at  2.000 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at   90.000 K, T1:  90.150 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 60.749000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 37560.000000 Hz, Phase 173.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 37560.500000 Hz, Phase -6.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 27.472200 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 14 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
AgCrP2S6
90K
-

>BEGIN
      8.0000032     -0.00274183      -0.0190736      0.00566247      -0.0136495 
      8.0000145     -0.00321867      -0.0194908      0.00572208      -0.0128151 
      8.0000311      -0.0036359      -0.0200869      0.00494721      -0.0119806 
      8.0000572     -0.00464919      -0.0196696      0.00506642      -0.0120402 
      8.0000907     -0.00500682        -0.01961      0.00625852      -0.0118614 
      8.0001314     -0.00447038      -0.0196696      0.00637773      -0.0114442 
      8.0001791     -0.00292064      -0.0197293      0.00435117      -0.0101925 
      8.0002335     -0.00286104      -0.0194908      0.00202657      -0.0094772 
      8.0002945     -0.00351669      -0.0189544       0.0024438      -0.0108481 
      8.0003617     -0.00351669      -0.0188352      0.00321867      -0.0116826 
      8.0004351      -0.0036359       -0.019014      0.00387433      -0.0129343 
      8.0005143     -0.00393394      -0.0184776      0.00441077      -0.0126958 
       8.000588     -0.00292064      -0.0190736      0.00488761      -0.0126362 
      8.0006659      -0.0024438      -0.0197293      0.00554326       -0.012219 
      8.0007487     -0.00166894      -0.0197889      0.00566247      -0.0123978 
      8.0008347    -5.96051e-05      -0.0198485      0.00649694      -0.0131727 
