> Measurement made Fri Aug 16 18:05:19 2024
> Main magnet sweep  6.00000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at    6.000 K, T1:   5.997 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 16.698080 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  on rotator rotated 99 degree from perp
Rotator Setting 580
6K 0-6T

>BEGIN
      5.9999904      -0.0679498        0.061274       0.0211002      -0.0523331 
      5.9999564      -0.0678902       0.0612144       0.0206829      -0.0522735 
      5.9999073      -0.0677709       0.0613336       0.0210406      -0.0534656 
      5.9998293      -0.0678902        0.061274        0.021279      -0.0537636 
      5.9997421      -0.0678306        0.061274       0.0215174      -0.0529888 
      5.9996226      -0.0682478        0.061274        0.021577      -0.0524523 
      5.9995013      -0.0686054       0.0612144       0.0214578      -0.0523331 
      5.9993431      -0.0685458       0.0608566       0.0215174      -0.0527503 
      5.9991875      -0.0681882       0.0609162       0.0217558      -0.0534656 
      5.9989928      -0.0682478       0.0608566       0.0218154       -0.053406 
      5.9988079      -0.0679498        0.060797       0.0218154      -0.0534656 
      5.9985791      -0.0677113       0.0604393       0.0223519      -0.0539424 
      5.9983654      -0.0676517       0.0597241       0.0223519      -0.0539424 
      5.9981367       -0.068069       0.0597241       0.0220538      -0.0538232 
      5.9978615      -0.0684862       0.0596645       0.0216366      -0.0531676 
      5.9976086      -0.0686054       0.0600817       0.0215174      -0.0530484 
       5.997344      -0.0688438       0.0606182        0.021577      -0.0536444 
      5.9970655      -0.0685458       0.0610356        0.021577       -0.054002 
      5.9967785      -0.0685458       0.0619297       0.0214578       -0.054002 
      5.9964363       -0.068367       0.0619297       0.0213982      -0.0539424 
      5.9960804      -0.0680094       0.0614529       0.0213982      -0.0537636 
      5.9957564      -0.0681882       0.0611548        0.021279      -0.0528696 
      5.9954256      -0.0685458       0.0611548        0.020981      -0.0522139 
      5.9950347       -0.068665       0.0609758       0.0206233      -0.0522735 
      5.9946318      -0.0687842        0.061274       0.0210406       -0.053108 
      5.9942711      -0.0684862       0.0616317       0.0212194       -0.053704 
      5.9938984       -0.068367        0.061274       0.0213982       -0.054002 
      5.9934646       -0.068069       0.0606778       0.0216962      -0.0549557 
      5.9930203      -0.0681882       0.0608566        0.022173      -0.0542405 
      5.9926246      -0.0679498       0.0608566       0.0222923      -0.0541213 
      5.9921615      -0.0676517       0.0603201       0.0222326      -0.0535252 
      5.9916889      -0.0679498       0.0603797        0.021875      -0.0523331 
       5.991207       -0.068069       0.0608566       0.0213386      -0.0524523 
      5.9907162      -0.0682478       0.0610356       0.0210406      -0.0525119 
      5.9902812      -0.0682478       0.0615125       0.0209213      -0.0521543 
      5.9897745      -0.0684266       0.0623469        0.020981      -0.0520351 
      5.9892597      -0.0684862       0.0631218        0.021279      -0.0529292 
       5.988737      -0.0688438       0.0631218        0.021577      -0.0527503 
      5.9882068      -0.0687842       0.0622873       0.0214578      -0.0524523 
      5.9877342      -0.0684862       0.0615721       0.0214578      -0.0526311 
      5.9872604      -0.0683074       0.0610952       0.0215174      -0.0527503 
      5.9867106      -0.0683074        0.061274        0.021577      -0.0525119 
      5.9861542      -0.0682478       0.0613932        0.021279      -0.0522139 
      5.9856592       -0.068367       0.0615721       0.0210406      -0.0529888 
       5.985164      -0.0681882       0.0615721       0.0212194      -0.0537636 
      5.9846641      -0.0677709       0.0619893       0.0216962      -0.0542405 
       5.984155      -0.0676517       0.0619297        0.021875      -0.0542405 
      5.9836463      -0.0677113       0.0619893       0.0219942      -0.0545981 
      5.9831333      -0.0680094       0.0621085        0.021875      -0.0544789 
        5.98254      -0.0684862       0.0619297       0.0214578       -0.054002 
      5.9820135      -0.0688438       0.0617509       0.0216962      -0.0541213 
       5.981488      -0.0688438       0.0609758       0.0220538      -0.0536444 
      5.9808807      -0.0685458       0.0602605       0.0224115      -0.0529888 
      5.9803424      -0.0684266       0.0609758       0.0225307      -0.0523331 
      5.9798054      -0.0686054       0.0614529       0.0222923      -0.0528099 
      5.9791854      -0.0688438       0.0615721       0.0222923      -0.0530484 
      5.9786413      -0.0687246       0.0615125       0.0225903      -0.0530484 
      5.9780133       -0.068665       0.0614529       0.0226499      -0.0532272 
      5.9774574      -0.0688438        0.060797       0.0228287      -0.0533464 
      5.9768219      -0.0688438       0.0600817       0.0225307      -0.0531676 
      5.9762647       -0.068367       0.0594857       0.0219942      -0.0532868 
      5.9757046      -0.0679498       0.0598433       0.0215174      -0.0529292 
       5.975059      -0.0679498       0.0603201        0.021577      -0.0522735 
       5.974488      -0.0677709       0.0609162       0.0217558      -0.0520351 
      5.9739195      -0.0678306       0.0611548       0.0219346      -0.0519755 
      5.9732646      -0.0683074       0.0609758        0.021875      -0.0520947 
      5.9726066       -0.068069       0.0600221       0.0216962      -0.0524523 
      5.9720249      -0.0679498       0.0606778       0.0216962      -0.0527503 
      5.9714463      -0.0684862       0.0615721       0.0219942      -0.0530484 
      5.9708655       -0.068963       0.0621681        0.022173      -0.0536444 
      5.9702772      -0.0693803       0.0622873       0.0218154      -0.0537636 
      5.9696922      -0.0696187       0.0625257        0.021577      -0.0536444 
      5.9690188      -0.0695591       0.0627046       0.0219346      -0.0538828 
      5.9684296      -0.0691419       0.0622873        0.022173      -0.0537636 
       5.967833       -0.068665       0.0622277        0.021875       -0.053406 
        5.96724      -0.0683074       0.0616913        0.021577       -0.053406 
      5.9665578      -0.0679498       0.0609758        0.021577      -0.0531676 
      5.9658733      -0.0675325       0.0604393       0.0216366      -0.0531676 
      5.9652692      -0.0673537       0.0599625        0.021875       -0.053704 
       5.964669      -0.0671749       0.0593069       0.0219942      -0.0541809 
      5.9640672      -0.0672941       0.0590684       0.0219346      -0.0541809 
      5.9634583      -0.0675325       0.0588896       0.0216962      -0.0542405 
      5.9628535      -0.0676517       0.0591876       0.0215174      -0.0541213 
      5.9621581       -0.068069       0.0603797       0.0216962      -0.0541213 
      5.9614609      -0.0684862        0.061274        0.022173      -0.0541213 
      5.9608516       -0.068367       0.0618105       0.0219942      -0.0538232 
      5.9601512      -0.0679498       0.0625853       0.0219346       -0.053406 
      5.9594491      -0.0675325       0.0625257        0.021875      -0.0535252 
        5.95883      -0.0678306       0.0613336       0.0218154       -0.053704 
      5.9582153      -0.0683074       0.0609758       0.0217558       -0.053406 
      5.9575938      -0.0685458       0.0611548       0.0213982      -0.0525715 
      5.9569769      -0.0684862        0.061274       0.0213982      -0.0525119 
      5.9563589      -0.0681882       0.0613932       0.0219346      -0.0529888 
      5.9557341      -0.0681882       0.0610952        0.021875      -0.0528696 
      5.9550229      -0.0681286       0.0601413       0.0218154      -0.0527503 
      5.9543104      -0.0681882       0.0608566        0.022173      -0.0527503 
      5.9535967      -0.0680094       0.0608566       0.0219942      -0.0525715 
      5.9529733      -0.0677113       0.0602009       0.0220538      -0.0527503 
      5.9523491      -0.0676517       0.0602605        0.021875      -0.0531676 
      5.9517183      -0.0677113       0.0600817       0.0217558      -0.0532868 
      5.9510923      -0.0677709       0.0603797       0.0221134      -0.0533464 
      5.9504598      -0.0681882       0.0611548       0.0223519      -0.0541213 
        5.94974      -0.0684862       0.0616913       0.0223519      -0.0538828 
      5.9491116      -0.0687246       0.0615721       0.0219346      -0.0533464 
      5.9484824      -0.0693803       0.0617509       0.0217558       -0.053108 
        5.94776      -0.0700359       0.0625853        0.021577      -0.0532868 
      5.9471235      -0.0697975       0.0624661       0.0220538      -0.0536444 
      5.9464921      -0.0693207       0.0614529       0.0223519      -0.0537636 
      5.9457672       -0.068665       0.0604393       0.0221134      -0.0535848 
      5.9451345      -0.0684862       0.0603797       0.0220538       -0.053406 
      5.9444081      -0.0685458       0.0603797        0.021875      -0.0528696 
      5.9437682       -0.068069       0.0603797       0.0215174      -0.0525119 
      5.9431335      -0.0677709       0.0607374       0.0213386      -0.0525119 
      5.9424925      -0.0679498       0.0616317       0.0213982      -0.0525715 
      5.9418567      -0.0680094       0.0616913       0.0213982      -0.0528099 
       5.941127      -0.0679498       0.0614529       0.0213982       -0.053108 
      5.9404901       -0.068069       0.0616913       0.0215174      -0.0532272 
      5.9398469       -0.068069       0.0615125       0.0217558      -0.0533464 
      5.9391154      -0.0678306       0.0608566       0.0216366      -0.0537636 
      5.9383832      -0.0678902       0.0605586        0.021577      -0.0543001 
      5.9377443      -0.0680094       0.0604393       0.0215174       -0.054002 
       5.937105      -0.0680094       0.0602605       0.0218154      -0.0539424 
      5.9363713      -0.0683074       0.0608566        0.022173      -0.0538232 
       5.935637      -0.0687842       0.0615125       0.0225307      -0.0535848 
      5.9349904       -0.068665       0.0616317       0.0230075      -0.0535848 
      5.9342552      -0.0685458       0.0620489       0.0232459      -0.0541213 
      5.9335195      -0.0682478       0.0620489       0.0232459      -0.0538828 
      5.9328776      -0.0679498       0.0615721       0.0231267      -0.0535848 
      5.9322294      -0.0677709       0.0608566       0.0228883      -0.0533464 
      5.9315868      -0.0677709       0.0605586       0.0228287      -0.0537636 
      5.9308495      -0.0680094       0.0603797       0.0227095      -0.0539424 
      5.9301117      -0.0680094        0.060797       0.0227095      -0.0534656 
       5.929468      -0.0677709       0.0610952       0.0224115      -0.0531676 
      5.9287295      -0.0673537       0.0610356        0.022173      -0.0528099 
      5.9280793      -0.0671749       0.0609162       0.0221134      -0.0528696 
