> Measurement made Fri Aug 16 17:04:19 2024
> Main magnet sweep  6.00000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at    6.000 K, T1:   5.996 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 16.648800 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  on rotator rotated 81 degree from perp
Rotator Setting 680
6K 0-6T

>BEGIN
      5.9999904       0.0512602      -0.0688438       0.0168682       0.0191928 
      5.9999618       0.0510218      -0.0687842       0.0169278       0.0193716 
      5.9999151       0.0510218      -0.0691419        0.016749       0.0189544 
        5.99985       0.0510814      -0.0691419       0.0165106       0.0192524 
      5.9997684        0.051141      -0.0690822       0.0166298       0.0190736 
        5.99967       0.0510814      -0.0693803        0.016451        0.019014 
      5.9995374       0.0516179      -0.0693803       0.0163318       0.0194312 
      5.9994036       0.0519755      -0.0691419       0.0166298       0.0199081 
      5.9992558       0.0517967      -0.0686054        0.017047       0.0197889 
      5.9990682       0.0516179       -0.068665       0.0173451       0.0191928 
      5.9988619       0.0513794      -0.0692015       0.0175239       0.0192524 
      5.9986672       0.0513794      -0.0697379       0.0175239       0.0192524 
      5.9984275        0.051439      -0.0699763       0.0174643       0.0189544 
      5.9982024       0.0514986      -0.0701551       0.0171066       0.0192524 
      5.9979669        0.051439      -0.0702147       0.0172259        0.019014 
      5.9976817       0.0510814      -0.0702147       0.0174643       0.0181199 
      5.9973811       0.0509026      -0.0693207       0.0174643       0.0180603 
      5.9971042       0.0513794      -0.0691419       0.0174047       0.0181199 
      5.9968187       0.0516775      -0.0690822       0.0173451       0.0187756 
      5.9964781       0.0516179      -0.0692015       0.0172855       0.0192524 
      5.9961238       0.0513198       -0.068963       0.0172259       0.0191332 
      5.9958042       0.0510814      -0.0689034       0.0171066       0.0190736 
      5.9954717        0.050843       -0.068963       0.0169874       0.0192524 
      5.9950822        0.051141      -0.0688438       0.0174643       0.0197889 
      5.9946808        0.051439      -0.0691419       0.0178815       0.0201465 
      5.9943212       0.0516179      -0.0694399       0.0178815       0.0200273 
      5.9938984        0.051439      -0.0691419       0.0179411         0.01961 
      5.9935207        0.051141      -0.0690822       0.0179411        0.019014 
      5.9931314        0.050545      -0.0691419       0.0177027        0.018716 
      5.9927379       0.0504854      -0.0689034       0.0173451       0.0185968 
       5.992333        0.050843      -0.0687246       0.0171066       0.0185968 
      5.9918639       0.0510218      -0.0687842       0.0169278        0.018716 
      5.9913854       0.0513198      -0.0688438       0.0168086       0.0185968 
      5.9908978       0.0513794      -0.0696187       0.0168086        0.018418 
      5.9904656       0.0512602      -0.0700955       0.0173451       0.0185968 
      5.9900268       0.0513198      -0.0702147       0.0175835        0.019312 
      5.9895777       0.0512602      -0.0707512       0.0176431       0.0195504 
      5.9890599       0.0510814      -0.0717049       0.0177623       0.0197889 
      5.9885343        0.051141      -0.0712876       0.0180603        0.019312 
      5.9880699       0.0517371      -0.0703936       0.0182987        0.018716 
         5.9876       0.0516775      -0.0700359       0.0178815       0.0188948 
      5.9870545       0.0516775      -0.0696783       0.0174047       0.0192524 
      5.9865688       0.0513198      -0.0694995       0.0172855       0.0191928 
      5.9860825       0.0510814      -0.0694399       0.0172855       0.0187756 
      5.9854462       0.0513198      -0.0699167       0.0174643       0.0187756 
       5.984949       0.0516179      -0.0699167       0.0175835        0.019014 
      5.9844425       0.0518563      -0.0696783       0.0173451       0.0189544 
      5.9839362       0.0517371      -0.0697975       0.0169278       0.0189544 
      5.9834256       0.0516179      -0.0694399       0.0166298       0.0186564 
      5.9828349       0.0515583       -0.068963       0.0166298       0.0181795 
      5.9823107        0.051141      -0.0690226        0.017047       0.0181199 
      5.9817874        0.050843      -0.0692015       0.0173451       0.0178815 
      5.9812602        0.050843      -0.0693803       0.0172855       0.0174047 
      5.9806511       0.0509622      -0.0697379       0.0174047       0.0171066 
      5.9801113       0.0510814      -0.0700955       0.0175239       0.0182391 
      5.9795728       0.0510814      -0.0696783       0.0178815       0.0192524 
      5.9789512       0.0513198      -0.0693803       0.0181795       0.0197293 
      5.9783253        0.051141      -0.0687842       0.0182987       0.0194312 
      5.9777711       0.0509026      -0.0690822       0.0182987       0.0188948 
      5.9771376       0.0510814      -0.0696187       0.0182987       0.0182391 
       5.976582       0.0513198      -0.0694399       0.0179411       0.0181795 
      5.9760235       0.0512006       -0.068963       0.0174643       0.0184776 
      5.9754571       0.0509622      -0.0684266       0.0172855       0.0183583 
      5.9748101        0.050843      -0.0686054       0.0174047       0.0184776 
      5.9742432       0.0509622      -0.0693803       0.0175835       0.0185968 
       5.973506       0.0509622      -0.0699167       0.0172855       0.0186564 
      5.9729333       0.0510218      -0.0694995       0.0172855        0.018716 
      5.9723583       0.0515583      -0.0691419       0.0172855       0.0194312 
      5.9716961        0.051439       -0.068963       0.0172855       0.0197293 
      5.9710309       0.0512602      -0.0694399       0.0175835       0.0193716 
      5.9704432       0.0512006      -0.0699167       0.0178815       0.0189544 
      5.9698588        0.051141      -0.0700359       0.0178219        0.019312 
       5.969186        0.050843      -0.0699167       0.0173451       0.0191928 
      5.9685108       0.0501873      -0.0696187       0.0169278       0.0185968 
      5.9679144       0.0500085      -0.0696783       0.0166298       0.0185968 
