> Measurement made Fri Aug 16 14:20:04 2024
> Main magnet sweep  0.00000 to  6.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at    6.000 K, T1:   6.001 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   1 mV, Mod Freq 41680.000000 Hz, Phase -1.420000 degr, Ampl. 0.150000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 41680.600000 Hz, Phase -2.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 17.451880 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.8 GHz (dial 5250) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 25 dB
> Source attn 20 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 10 dB, Diode reading (-30dB) 12 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
-YMnS  on rotator rotated 36 degree from perp
Rotator Setting 930
6K 0-6T

>BEGIN
  
      3.0001311       0.0243784      -0.0578763      -0.0140071      0.00655654 
       3.000881       0.0240208      -0.0575783      -0.0136495      0.00679496 
      3.0015349       0.0239612      -0.0580552      -0.0134707      0.00703338 
      3.0021888       0.0240804      -0.0581744      -0.0137091      0.00774866 
      3.0029387       0.0240208      -0.0578167      -0.0134707      0.00798708 
      3.0036886       0.0239612      -0.0573399      -0.0130535      0.00792748 
      3.0044385       0.0239016      -0.0568035      -0.0131727      0.00798708 
      3.0050984       0.0237824      -0.0572207      -0.0135899       0.0082255 
      3.0057523        0.023842      -0.0569227      -0.0138879      0.00834471 
      3.0064122        0.023842      -0.0568035      -0.0140071      0.00816589 
      3.0071621       0.0239612      -0.0569227      -0.0139475      0.00792748 
       3.007816       0.0239612      -0.0569823      -0.0140071      0.00768906 
      3.0085659         0.02414      -0.0577571      -0.0138879      0.00673535 
      3.0093158       0.0239612      -0.0584724      -0.0129343      0.00578168 
      3.0100657       0.0237824      -0.0584128      -0.0126958      0.00578168 
      3.0107196       0.0237228      -0.0578167      -0.0128151      0.00661614 
      3.0113795       0.0237228      -0.0576379      -0.0131131      0.00745061 
      3.0121294       0.0236632      -0.0575783      -0.0131727      0.00768906 
      3.0127833       0.0233651      -0.0573995      -0.0130535      0.00739101 
      3.0135332       0.0230671      -0.0571611      -0.0131131      0.00751021 
      3.0141871       0.0230671      -0.0569823      -0.0135899       0.0073314 
       3.014937       0.0231863      -0.0568631      -0.0135899       0.0073314 
      3.0155969       0.0232459      -0.0563862      -0.0135899      0.00780827 
      3.0163468       0.0232459      -0.0559094      -0.0137687      0.00792748 
      3.0170007       0.0231863      -0.0566843      -0.0137687      0.00745061 
      3.0176606       0.0232459      -0.0575783      -0.0137687       0.0072718 
      3.0183145       0.0233651      -0.0578167      -0.0140668      0.00709298 
      3.0189685       0.0236036      -0.0576975      -0.0138879      0.00697377 
      3.0196284       0.0237228      -0.0575187      -0.0133515      0.00673535 
      3.0202823       0.0240804      -0.0579359      -0.0130535      0.00631812 
      3.0209362       0.0242592      -0.0576379      -0.0128151      0.00578168 
      3.0216861        0.023842      -0.0576379      -0.0127555      0.00578168 
       3.022436       0.0237228      -0.0580552      -0.0130535       0.0060201 
      3.0231859        0.023544      -0.0582936      -0.0132323      0.00619891 
      3.0238458       0.0232459       -0.058234      -0.0131131      0.00649694 
      3.0245957       0.0234843      -0.0578763      -0.0132919      0.00691417 
      3.0253456       0.0239016      -0.0568631      -0.0134707      0.00756982 
      3.0259995         0.02414      -0.0560286      -0.0137091      0.00792748 
      3.0267494       0.0244976      -0.0553729      -0.0134707      0.00792748 
      3.0274993       0.0245572      -0.0559094      -0.0134707      0.00810629 
      3.0282492       0.0243784      -0.0569823      -0.0139475      0.00798708 
      3.0289091       0.0241996      -0.0572803       -0.014186      0.00804669 
       3.029563       0.0237228      -0.0569227      -0.0139475      0.00810629 
      3.0302169       0.0233651       -0.056565      -0.0138879      0.00739101 
      3.0309668       0.0233651      -0.0568035      -0.0137091      0.00673535 
      3.0317167       0.0236632      -0.0571015      -0.0136495      0.00613931 
      3.0323766       0.0239016       -0.056565      -0.0137091      0.00637773 
      3.0331265       0.0237824      -0.0564458      -0.0138879      0.00709298 
      3.0337804       0.0239016      -0.0568631      -0.0138283       0.0073314 
      3.0345303       0.0239612      -0.0571611      -0.0136495      0.00703338 
      3.0351842       0.0242592      -0.0569823      -0.0137687      0.00721219 
      3.0359341       0.0240804      -0.0570419      -0.0138879      0.00721219 
       3.036594       0.0237824      -0.0570419      -0.0135899      0.00709298 
      3.0373439        0.023544      -0.0568631      -0.0134111      0.00685456 
      3.0379978       0.0231863      -0.0564458      -0.0137091      0.00709298 
      3.0386577       0.0229479       -0.055969      -0.0134707      0.00715259 
      3.0393116       0.0231267      -0.0560286      -0.0134707      0.00715259 
